,SalePrice
203,144100
204,294900
205,50000
206,260000
207,180000
208,236500
209,63900
210,223000
211,151000
212,149500
213,149900
214,500000
215,92900
216,290000
217,345474
218,127000
219,102000
220,190000
221,75200
222,108538
223,142250
224,180000
225,132000
226,152400
227,64000
228,302000
229,182000
230,137000
231,168000
232,97500
233,286000
234,115000
235,209000
236,187500
237,220000
238,91000
239,93500
240,79400
241,259500
242,417500
243,132000
244,342000
245,194000
246,235000
247,136870
248,147000
249,277000
250,201490
251,85000
252,149900
253,174500
254,133900
255,173000
256,225000
257,109500
258,159000
259,179400
260,219000
261,175500
262,261329
263,383000
264,179000
265,103500
266,164500
267,55000
268,170000
269,209500
270,124500
271,139400
272,202665
273,155891
274,160000
275,150000
276,221300
277,361919
278,134900
279,118000
280,195800
281,135000
282,152000
283,133900
284,152000
285,107000
286,120000
287,372500
288,220000
289,167000
290,479069
291,233555
292,118900
293,140000
294,130000
295,179900
296,282000
297,217500
298,212500
299,126000
300,280750
301,87000
302,244600
303,215200
304,162500
305,138000
306,181316
307,148000
308,315000
310,132000
311,149500
312,183500
313,224500
314,415000
315,155000
316,135000
317,164000
318,128500
319,196500
320,131000
321,151000
322,149900
323,139900
324,180000
325,120750
326,154000
327,139900
328,100000
329,240000
330,135000
331,174000
332,378500
333,207000
334,131000
335,152000
336,61500
337,147110
338,137000
339,128500
340,207500
341,172500
342,380000
343,137000
344,130000
345,215000
346,153000
347,385000
348,130000
349,127000
350,270000
351,141000
352,235000
353,256900
354,336860
355,375000
356,141000
357,160000
358,182000
359,217000
360,195000
361,255000
362,168500
363,118500
364,149900
365,119000
366,113000
367,159000
368,159000
369,168000
370,122000
371,122250
372,120000
373,421250
374,106900
375,194000
376,204000
377,100000
378,105000
379,104900
380,187000
381,181500
382,187100
383,158000
384,192000
385,230000
386,128000
387,197000
388,415000
389,135960
390,250000
391,296000
392,172500
393,236500
394,223000
395,230500
396,130000
397,125500
398,147500
399,79000
400,97000
401,97000
402,119000
403,125500
405,82000
406,93000
407,535000
408,235128
409,138000
410,176000
411,208000
412,141000
413,162000
414,151500
415,218836
416,322500
417,151000
418,127500
419,203000
420,121000
421,213000
422,174000
423,398800
424,205000
425,189000
426,185000
427,12789
428,128000
429,90000
430,167900
431,143000
432,250000
433,150909
434,178000
435,350000
436,143500
437,180500
438,255000
439,154500
440,245000
441,153000
442,230000
443,212700
444,339750
445,112000
446,207500
447,195000
448,120500
449,144000
450,176400
451,130000
452,97000
453,76500
454,419005
455,83000
456,142000
457,154900
458,145000
459,123900
460,250000
461,143000
462,183000
463,255000
464,131750
465,132500
466,181900
467,387000
468,268000
469,122000
470,97000
471,229000
472,340000
473,115000
474,135000
475,149000
476,285000
477,234250
478,119500
479,142500
480,123000
481,149000
482,136000
483,119000
484,124000
485,328900
486,118000
487,260000
488,157000
489,437154
490,260000
491,369900
492,164000
493,187500
494,263000
495,45000
496,173000
497,128500
498,194000
499,178000
500,128000
501,89000
502,130000
503,160000
504,90000
505,150000
506,143000
507,156000
508,87000
509,148500
510,63000
511,128000
512,253293
513,214000
514,124000
515,129850
516,115000
517,163500
518,145000
519,271000
520,95000
521,192000
522,394432
523,181000
524,381000
525,140000
526,130500
527,155000
528,89500
529,277500
530,140000
531,160000
532,125000
533,185000
534,173500
535,135000
536,131000
537,200000
538,278000
539,137900
540,300000
541,169000
542,129200
543,167000
544,187500
545,129900
546,236000
547,125500
548,192000
549,165500
550,155000
551,127500
552,144000
553,171000
554,217000
555,260000
556,82500
557,172000
558,34900
559,195000
560,376162
561,175000
562,126500
563,122000
564,213000
565,138000
566,147000
567,130000
568,103000
569,213000
570,110000
571,131500
572,275000
573,165500
574,290000
575,126000
576,124000
577,320000
578,425000
579,96500
580,91900
581,272500
582,154204
583,200825
584,611657
585,160000
586,78000
587,201800
588,195500
589,142953
590,107500
591,213133
592,297900
593,122000
594,162000
595,250000
596,318000
597,260000
598,155000
599,120000
600,159000
601,112000
602,226000
603,324000
604,99900
605,271500
606,377500
607,131000
608,125000
609,142500
610,266000
611,142500
612,149900
613,135000
614,257000
615,591587
616,176432
617,392000
618,135000
619,150000
620,186000
621,215000
622,116000
623,160500
624,269500
625,170440
626,246500
627,246990
628,131400
629,455000
630,109000
631,132500
632,230500
633,128900
634,107400
635,405000
636,220000
637,144900
638,137000
639,230348
640,246578
641,149900
642,183000
643,99500
644,35311
645,194500
646,139500
647,231000
648,111500
649,249000
650,147000
651,301500
652,144000
653,145000
654,139500
655,100500
656,144000
657,123000
658,189000
659,243500
660,145000
661,135000
662,139000
663,153575
664,175000
665,132000
666,310000
667,144800
668,177500
669,215000
670,68400
671,128000
672,125200
673,251000
674,315000
675,127000
676,194000
677,103500
678,197500
679,140000
681,140000
682,378000
683,230000
684,173000
685,127000
686,309000
687,340000
688,175000
689,68500
690,135000
691,308030
692,120000
693,123000
694,141500
695,136500
696,125000
697,85500
698,204000
699,186500
700,109500
701,275000
702,226001
703,150750
704,129000
705,185485
706,144000
707,214000
708,75000
709,162000
710,110000
711,193000
712,148000
713,356383
714,104500
715,79500
716,93500
717,185850
718,115000
719,185900
720,155000
721,116000
722,177000
723,155000
724,137000
725,125000
726,228000
727,210000
728,191000
729,418000
730,275000
731,130000
732,139500
733,335000
734,138000
735,134500
736,133000
737,124500
738,159500
739,173000
740,40000
741,80000
742,235000
743,325000
744,129500
745,178000
746,127000
747,172500
748,154000
749,164900
750,160000
751,254750
752,315000
753,199900
754,185000
755,165000
756,132000
757,196000
758,153000
759,195000
760,271000
761,119000
762,119900
763,124000
764,171500
765,135000
766,119000
767,170000
768,72000
769,169000
770,95000
771,177500
772,105000
773,113000
774,185000
775,245000
776,190000
777,140000
778,258000
779,140000
780,176000
781,334000
782,114000
783,324000
784,342643
785,129000
786,132500
787,216500
788,182000
789,156000
790,143250
791,137000
792,87000
793,121500
794,80000
795,131000
796,301000
797,252678
798,237000
799,163000
800,260000
801,113000
802,538000
803,85400
804,213500
805,231000
806,192500
807,79900
808,129000
809,166000
810,189000
811,129500
812,136500
813,192500
814,250000
815,119500
816,170000
817,404000
818,157000
819,104000
820,112000
821,131000
822,198600
823,260116
824,99500
825,143000
826,239900
827,120875
828,228500
829,146000
830,240000
831,284000
832,116500
833,132000
834,81000
835,114000
836,120500
837,130000
838,310090
839,103400
840,245000
841,120000
842,124000
843,329900
844,133000
845,110000
846,142500
847,187500
848,327000
849,125900
850,139000
851,137000
852,188000
853,78500
854,46500
855,138000
856,185000
857,158000
858,105500
859,171000
860,184000
861,187750
862,146800
863,290000
864,169900
865,130000
866,123000
867,143900
868,223500
869,207000
870,440000
871,198500
872,149350
873,165000
874,235000
875,143500
876,203160
877,191750
878,187000
879,99500
880,122500
881,148800
882,153500
883,285000
884,184500
885,195500
886,257500
887,185000
888,160000
889,132500
890,212000
891,176000
892,192000
893,130000
894,192000
895,113500
896,117000
897,157500
898,200000
899,89000
900,140000
901,190000
902,261500
903,156000
904,68104
905,81300
906,370000
907,145500
908,142000
909,216000
910,123000
911,254900
912,79000
913,180000
914,240000
915,243000
916,372397
917,39300
918,157500
919,187000
920,173000
921,139000
922,145500
923,190000
924,394617
925,158900
926,174000
927,190000
928,128000
929,178740
930,315000
931,163000
932,180500
933,129500
934,133000
935,161000
936,248000
937,135000
938,93850
939,208300
940,142600
941,212999
942,386250
943,213750
944,315000
945,124000
946,150000
947,139500
948,120500
949,290000
950,215000
951,336820
952,174000
953,142100
954,130000
955,184000
956,269500
957,146500
958,145000
959,187000
960,119900
961,210000
962,412500
963,213000
964,182000
965,185000
966,152000
967,135000
968,115500
969,121500
970,149000
971,125000
972,136500
973,148000
974,125000
975,99800
976,120000
977,127000
978,160000
979,125600
980,224243
981,242000
982,88250
983,191000
984,148000
985,166000
986,172400
987,224500
988,157000
989,140000
990,183500
991,80000
992,175000
993,181900
994,315750
995,145000
996,197000
997,84900
998,158000
999,156000
1000,305900
1001,257500
1002,116000
1003,143450
1004,277500
1005,200000
1006,105000
1007,755000
1008,204000
1009,255000
1010,156500
1011,86000
1012,240900
1013,268000
1014,244000
1015,155000
1016,144500
1017,122500
1018,141000
1019,131000
1020,230000
1021,320000
1022,185900
1023,130000
1024,188000
1025,127500
1026,188500
1027,200100
1028,148500
1029,137000
1030,157000
1031,82500
1032,168000
1033,108000
1034,177625
1035,235000
1036,155000
1037,108000
1038,155000
1039,175000
1040,362500
1041,184900
1042,135000
1043,150000
1044,195000
1045,210000
1046,133000
1047,286500
1048,119900
1049,190000
1050,137000
1051,115000
1052,113500
1053,167500
1054,335000
1055,140000
1056,176000
1057,125000
1058,105000
1059,130250
1060,210900
1061,122000
1062,375000
1063,275000
1064,64500
1065,144000
1066,171500
1067,108500
1068,244400
1069,196000
1070,91000
1071,257000
1072,165000
1073,103000
1074,143000
1075,286000
1076,126000
1077,159950
1078,140750
1079,270000
1080,118500
1081,110000
1082,123000
1083,119000
1084,126175
1085,132000
1086,148000
1087,134500
1088,134432
1089,216837
1090,206900
1091,109900
1092,129000
1093,133000
1094,270000
1095,125000
1096,235500
1097,115000
1098,125000
1099,299800
1100,135000
1101,140000
1102,76000
1103,335000
1104,166000
1105,139500
1106,247900
1107,160000
1108,168000
1109,267000
1110,127500
1111,204750
1112,555000
1113,160000
1114,197000
1115,151400
1116,59000
1117,146000
1118,187500
1119,200000
1120,116500
1121,215000
1122,215000
1123,307000
1124,270000
1125,217000
1126,108500
1127,120000
1128,141000
1129,253000
1130,174000
1131,110000
1132,180500
1133,140000
1134,262280
1135,128000
1136,202500
1137,114500
1138,200000
1139,124000
1140,175900
1141,231500
1142,217000
1143,159500
1144,462000
1145,154000
1146,403000
1147,190000
1148,85500
1149,140000
1150,160000
1151,266500
1152,315000
1153,221000
1154,300000
1155,103000
1156,166000
1157,145000
1158,136900
1159,263550
1160,140000
1161,205000
1162,295000
1163,153900
1164,158500
1165,130000
1166,96000
1167,122000
1168,316500
1169,197500
1170,210000
1171,219500
1172,133000
1173,79000
1174,126000
1175,155000
1176,162000
1177,188000
1178,402000
1179,228500
1180,170000
1181,180000
1182,161750
1183,97900
1184,212000
1185,122900
1186,348000
1187,172000
1188,128000
1189,227000
1190,160000
1191,170000
1192,158000
1193,167800
1194,134900
1195,190000
1196,192140
1197,149300
1198,132000
1199,181000
1200,248500
1201,221500
1202,177000
1203,197000
1204,137000
1205,147500
1206,141500
1207,280000
1208,150000
1209,226700
1210,153000
1211,224000
1212,360000
1213,350000
1214,107500
1215,213000
1216,189500
1217,155000
1218,161500
1219,158000
1220,285000
1221,245350
1222,192000
1223,215000
1224,139000
1225,117000
1226,154000
1227,111000
1228,110000
1229,254900
1230,125000
1231,200000
1232,162900
1233,61000
1234,245000
1235,180000
1236,110000
1237,140000
1238,155000
1239,172900
1240,184000
1241,168675
1242,255900
1243,301000
1244,217000
1245,138500
1246,147000
1247,354000
1248,135000
1249,160000
1250,127000
1251,219990
1252,235000
1253,377426
1254,160200
1255,306000
1256,190000
1257,214000
1258,134000
1259,170000
1260,190000
1261,179900
1262,112000
1263,140000
1264,233000
1265,176500
1266,200500
1267,235000
1268,140000
1269,191500
1270,190000
1271,302000
1272,158000
1273,187000
1274,149900
1275,119164
1276,143000
1277,138000
1278,170000
1279,100000
1280,154000
1281,239000
1282,90500
1283,135000
1284,155000
1285,221000
1286,230000
1287,144000
1288,207000
1289,129000
1290,197600
1291,280000
1292,203135
1293,162500
1294,98000
1295,235000
1296,157000
1297,143000
1298,150000
1299,225000
1300,119750
1301,229000
1302,163000
1303,160000
1304,173500
1305,139000
1306,157000
1307,384500
1308,141000
1309,140000
1310,270000
1311,220000
1312,360000
1313,156000
1314,211000
1315,135500
1316,430000
1317,410000
1318,125000
1319,171500
1320,188000
1321,305000
1322,119000
1323,197900
1324,178000
1325,625000
1326,150000
1327,250000
1328,176000
1329,163000
1330,235000
1331,222000
1332,313000
1333,155000
1334,106000
1335,193000
1336,65000
1337,147000
1338,184000
1339,128250
1340,91000
1341,140200
1342,147000
1343,115000
1344,219500
1345,180000
1347,221000
1348,153500
1349,143000
1350,332000
1351,143000
1352,241000
1353,135750
1354,112500
1355,205950
1356,146000
1357,175000
1358,256000
1359,129000
1360,145000
1361,148800
1362,89500
1363,167000
1364,157900
1365,177500
1366,171500
1367,109900
1368,184000
1369,184500
1370,334000
1371,294000
1372,290000
1373,135000
1374,252000
1375,270000
1376,275000
1377,200000
1378,255900
1379,200000
1380,194500
1381,165500
1382,187500
1383,225000
1384,100000
1385,177000
1386,220000
1387,224900
1388,156500
1389,139000
1390,153000
1391,88000
1392,115000
1393,100000
1394,195000
1395,172000
1396,259000
1397,90000
1398,202900
1399,206000
1400,222000
1401,172000
1402,138887
1403,139000
1404,278000
1405,249000
1406,136500
1407,64500
1408,150000
1409,225000
1410,93900
1411,130000
1412,230000
1413,124000
1414,145900
1415,115000
1416,239500
1417,181000
1418,175000
1419,149500
1420,270000
1421,145000
1422,241500
1423,112500
1424,152000
1425,186500
1426,185000
1427,244000
1428,82375
1429,171000
1430,220000
1431,124000
1432,114000
1433,128900
1434,133500
1435,189000
1436,106000
1437,372500
1438,173000
1439,162500
1440,190000
1441,129000
1442,137500
1443,146000
1444,164500
1445,178000
1446,268500
1447,382500
1448,124000
1449,176000
1450,116000
1451,252000
1452,230000
1453,127500
1454,150000
1455,184000
1456,105000
1457,143500
1458,73000
1459,130000
1460,176000
1461,145000
1462,175500
1463,168500
1464,140000
1465,374000
1466,184000
1467,209500
1468,136000
1469,138000
1470,189000
1471,293200
1472,180500
1473,214000
1474,237000
1475,124900
1476,173000
1477,260000
1478,185000
1479,161000
1480,94900
1481,271900
1482,214500
1483,300000
1484,193000
1485,294000
1486,225000
1487,146900
1488,130000
1489,262500
1490,256000
1491,162000
1492,167000
1493,130000
1494,155000
1495,248000
1496,215000
1497,269500
1498,233500
1499,185000
1500,141000
1501,174000
1502,145000
1503,210000
1504,133000
1505,145000
1506,134000
1507,279000
1508,129000
1509,130000
1510,256300
1511,142000
1512,237500
1513,188700
1514,175900
1515,150500
1517,180000
1518,134500
1519,171000
1520,138000
1521,227000
1522,148500
1523,84500
1524,149000
1525,192350
1526,172000
1527,165400
1528,185000
1529,131900
1530,213490
1531,277000
1532,257500
1533,62383
1534,274300
1535,158000
1536,106500
1537,250000
1538,202500
1539,118400
1540,146000
1541,127000
1542,219500
1543,78000
1544,82000
1545,239000
1546,156450
1547,134000
1548,214900
1549,52000
1550,60000
1551,147000
1552,123500
1553,237000
1554,84000
1555,238500
1556,141500
1557,138500
1558,139900
1559,167000
1560,183500
1561,250000
1562,177000
1563,127000
1564,165000
1565,287000
1566,337000
1567,253000
1568,136000
1569,200000
1570,200000
1571,134900
1572,75000
1573,207000
1574,149900
1575,87500
1576,188000
1577,213000
1578,108000
1579,153000
1580,149900
1581,355000
1582,85000
1583,194700
1584,138400
1585,207500
1586,292500
1587,148000
1588,184000
1589,137500
1590,109500
1591,211000
1592,152500
1593,184100
1594,157000
1595,218000
1596,115000
1597,232000
1598,120000
1599,155000
1600,116000
1601,157500
1602,240000
1603,189950
1604,136500
1605,159000
1606,133000
1607,127000
1608,108000
1609,127000
1610,103600
1611,64000
1612,169000
1613,111000
1614,257000
1615,178900
1616,178900
1617,100000
1618,272000
1619,90000
1620,167500
1621,140000
1622,82000
1623,130000
1624,168000
1625,226500
1626,279000
1627,76500
1628,99900
1629,185000
1630,265000
1631,161000
1632,136500
1633,139000
1634,228950
1635,250000
1636,333168
1637,127500
1638,189000
1639,610000
1640,128000
1641,169000
1642,135000
1643,179900
1644,220000
1645,147900
1646,157000
1647,129000
1648,147000
1649,149000
1650,183900
1651,165000
1652,149500
1653,153000
1654,88000
1655,330000
1656,319900
1657,177000
1658,180000
1659,125000
1660,161000
1661,176000
1662,99500
1663,160250
1664,152000
1665,192000
1666,124000
1667,115000
1668,315000
1669,133500
1670,144500
1671,121000
1672,168000
1673,127000
1674,181000
1675,129900
1676,136905
1677,148500
1678,89500
1679,136000
1680,129500
1681,260000
1682,230000
1683,165000
1684,114504
1685,110500
1686,285000
1687,118000
1688,183500
1689,98000
1690,173000
1691,123000
1692,105000
1693,153500
1694,116000
1695,284000
1696,245700
1697,336000
1698,150000
1699,123600
1700,191000
1701,155000
1702,120000
1703,164000
1704,150900
1705,189500
1706,167300
1707,153000
1708,230000
1709,182000
1710,240000
1711,123000
1712,275000
1713,166800
1714,146000
1715,135000
1716,82500
1717,156000
1718,118000
1719,155000
1720,52500
1721,130000
1722,214000
1723,165000
1724,185000
1725,174000
1726,150000
1727,466500
1728,269790
1729,154400
1730,111250
1731,112500
1732,165000
1733,355000
1734,181000
1735,180000
1736,189000
1737,162000
1738,238000
1739,105000
1740,151000
1741,111000
1742,132000
1743,96000
1744,128500
1745,225000
1746,113000
1747,128950
1748,144500
1749,262500
1750,119500
1751,109500
1752,121000
1753,297000
1754,58500
1755,153500
1756,165600
1757,106000
1758,281213
1759,100000
1760,161500
1761,165000
1762,193000
1763,141500
1764,108000
1765,239000
1766,167900
1767,177000
1768,122000
1769,228500
1770,175000
1771,124000
1772,191000
1773,127500
1774,98000
1775,156500
1776,207000
1777,130500
1778,135000
1779,154300
1780,232000
1781,123000
1782,203000
1783,191000
1784,135000
1785,181000
1786,185750
1787,106000
1788,101000
1789,300000
1790,139000
1791,260000
1792,124400
1793,145000
1794,137500
1795,157500
1796,222000
1797,175000
1798,180400
1799,108000
1800,137500
1801,96000
1802,240000
1803,127000
1804,155000
1805,142500
1806,154000
1807,234500
1808,175500
1809,125500
1810,279500
1811,200000
1812,143750
1813,87000
1814,349265
1815,174000
1816,194000
1817,194000
1818,117600
1819,156000
1820,183000
1821,147000
1822,117000
1823,146000
1824,89900
1825,142000
1826,239000
1827,144000
1828,162000
1829,147000
1830,205000
1831,55000
1832,235000
1833,319900
1834,118000
1835,196500
1836,103000
1837,173000
1838,97500
1839,88750
1840,104900
1841,96500
1842,128500
1843,250000
1844,142125
1845,115400
1846,179200
1847,130000
1848,190500
1849,178000
1850,130000
1851,192000
1852,148000
1853,135500
1854,101800
1855,184900
1856,222500
1857,122000
1858,240000
1859,132000
1860,196000
1861,232698
1862,161500
1863,116900
1864,144000
1865,213500
1866,312500
1867,115000
1868,207000
1869,144000
1870,135900
1871,130000
1872,120000
1873,81000
1874,156500
1875,300000
1876,135000
1877,134800
1878,148000
1879,140000
1880,113000
1881,93500
1882,161000
1883,100000
1884,167900
1885,216000
1886,135000
1887,199900
1888,192500
1889,160000
1890,156500
1891,295493
1892,170000
1893,275000
1894,193000
1895,205000
1896,174000
1897,208500
1898,108000
1899,95000
1900,138000
1901,170000
1902,105000
1903,87000
1904,165000
1905,139500
1906,126000
1907,225000
1908,226500
1909,111750
1910,97500
1911,143000
1912,240000
1913,113700
1914,263400
1915,145400
1916,306000
1917,274000
1918,325000
1919,178000
1920,162500
1921,103200
1922,205000
1923,96900
1924,110000
1925,128000
1926,350000
1927,178000
1928,316000
1929,194500
1930,173000
1931,210000
1932,205000
1933,163500
1934,105900
1935,94750
1936,170000
1937,84500
1938,215000
1939,185088
1940,236000
1941,108500
1942,129400
1943,172500
1944,110000
1945,175900
1946,213250
1947,204000
1948,209000
1949,218500
1950,163000
1951,102900
1952,175000
1953,128000
1954,107900
1955,280000
1956,191000
1957,139400
1958,155000
1959,178750
1960,260000
1961,170000
1962,126000
1963,161000
1964,79000
1965,183200
1966,250000
1967,176000
1968,370000
1969,134500
1970,128000
1971,135000
1972,245000
1973,131500
1974,110000
1975,115000
1976,169000
1977,127000
1978,58500
1979,85000
1980,165000
1981,106250
1982,184000
1983,119000
1984,275000
1985,128500
1986,229800
1987,373000
1988,159900
1989,139000
1990,130500
1991,212000
1992,139000
1993,225000
1994,210000
1995,117500
1996,188900
1997,199500
1998,213500
1999,260000
2000,289000
2001,206000
2002,174850
2003,136000
2004,475000
2005,197000
2006,137500
2007,165000
2008,130000
2009,255000
2010,109500
2012,105000
2013,89000
2014,129000
2015,149000
2016,182900
2017,112000
2018,144750
2019,122000
2020,372000
2021,312500
2022,175000
2023,241500
2024,155000
2025,131000
2026,117500
2027,173000
2028,350000
2029,200000
2030,128000
2031,113000
2032,159000
2033,117250
2034,203000
2035,175000
2036,141000
2037,116000
2038,154000
2039,149700
2040,244000
2041,128600
2042,91500
2043,202000
2044,147000
2045,133000
2046,266000
2047,126500
2048,134450
2049,212300
2050,129000
2051,350000
2052,237000
2053,109000
2054,170000
2055,128000
2056,140500
2057,115000
2058,106500
2059,200000
2060,136500
2061,145250
2062,226750
2063,151000
2064,275000
2065,123000
2066,140000
2067,157000
2068,120000
2069,112000
2070,275500
2071,147500
2072,202500
2073,122500
2074,147500
2075,152500
2076,185000
2077,241500
2078,139500
2079,179900
2080,98000
2081,205000
2082,165000
2083,172500
2084,172000
2085,94000
2086,115000
2087,98300
2088,584500
2089,211000
2090,149000
2091,226000
2092,145000
2093,176500
2094,102000
2095,135000
2096,165250
2097,188000
2098,123900
2099,153600
2100,104500
2101,214000
2102,183000
2103,190000
2104,236500
2105,155000
2106,190000
2107,230000
2108,201000
2109,131750
2110,201000
2111,167000
2112,155000
2113,196000
2114,145000
2115,118500
2116,209500
2117,125000
2118,246900
2119,215700
2120,130000
2121,129000
2122,215000
2123,173000
2124,146000
2125,265000
2126,285000
2127,177000
2128,460000
2129,158500
2130,192100
2131,169500
2132,99600
2133,239900
2134,158000
2135,345000
2136,135500
2137,113000
2138,179000
2139,174000
2140,152000
2141,176500
2142,155900
2143,280000
2144,127000
2145,263000
2146,145000
2147,254000
2148,287500
2149,120000
2150,311500
2151,265900
2152,35000
2153,86900
2154,127000
2155,118500
2156,159000
2157,200000
2158,119000
2159,115000
2160,250000
2161,195000
2162,220000
2163,119500
2164,155000
2165,290000
2166,137000
2167,180000
2169,241600
2170,153000
2171,142000
2172,160000
2173,198000
2174,181000
2175,139000
2176,117000
2177,246000
2178,185500
2179,238000
2180,165000
2181,64000
2182,87000
2183,127000
2184,165500
2185,137000
2186,208900
2187,279700
2188,105500
2189,187000
2190,124500
2191,168500
2192,152000
2193,180000
2194,231500
2195,132000
2196,445000
2197,252000
2198,129500
2199,305000
2200,94500
2201,118000
2202,85000
2203,81500
2204,160000
2205,90000
2206,157500
2207,148500
2208,158000
2209,192000
2210,186700
2211,248500
2212,152000
2213,157500
2214,153500
2215,110000
2216,112000
2217,177000
2218,345000
2219,207500
2220,102000
2221,81400
2222,212500
2223,137250
2224,234000
2225,119000
2226,223500
2227,152000
2229,219500
2230,94550
2231,169500
2232,204000
2233,143000
2234,137000
2235,140000
2236,137500
2237,190000
2238,110000
2239,124500
2240,190000
2241,132000
2242,143000
2243,104000
2244,80000
2245,148000
2246,119500
2247,269500
2248,150000
2249,290000
2250,173500
2251,119600
2252,140000
2253,197900
2254,99900
2255,138500
2256,145500
2257,132500
2258,146500
2259,132500
2260,315500
2261,130000
2262,133500
2263,110000
2264,270000
2265,157900
2266,72500
2267,111500
2268,224000
2269,379000
2270,274000
2271,167000
2272,108000
2273,60000
2274,169000
2275,174500
2276,215000
2277,188500
2278,123000
2279,141000
2280,159900
2281,105000
2282,180000
2283,137500
2284,232000
2285,100000
2286,200000
2287,90350
2288,159900
2289,255000
2290,229000
2291,129900
2292,187500
2293,125000
2294,148400
2295,148000
2296,122000
2297,120000
2298,204000
2299,239900
2300,144000
2301,153500
2302,128000
2303,84900
2304,270000
2305,155500
2306,135000
2307,143500
2308,284700
2309,141500
2310,211000
2311,410000
2312,316600
2313,146500
2314,227000
2315,193500
2316,318750
2317,179900
2318,141000
2319,168000
2320,166500
2321,188500
2322,127500
2323,57625
2324,251000
2325,174000
2326,192000
2327,300000
2328,137500
2329,103000
2330,116500
2331,147400
2332,87500
2333,127500
2334,218000
2335,118000
2336,202000
2337,317000
2338,80000
2339,149500
2340,185000
2341,179900
2342,159895
2343,143000
2344,218000
2345,110000
2346,170000
2347,156000
2348,190000
2349,282500
2350,309000
2351,137900
2352,110000
2353,191000
2354,140000
2355,227000
2356,180000
2357,144000
2358,244000
2359,211000
2360,179200
2361,173000
2362,134500
2363,142500
2364,125000
2365,114900
2366,119500
2367,124500
2368,470000
2369,147000
2370,100000
2371,80500
2372,203000
2373,221800
2374,89500
2375,142000
2376,151000
2377,215000
2378,160000
2379,250000
2380,189000
2381,133000
2382,149900
2383,156500
2384,328000
2385,239500
2386,177900
2387,145000
2388,116900
2389,325000
2390,155000
2391,144000
2392,188000
2393,225000
2394,141000
2395,205000
2396,107500
2397,85500
2398,242000
2399,149000
2400,135000
2401,206000
2402,85000
2403,300000
2404,315000
2405,240050
2406,180000
2407,139000
2408,185000
2409,187000
2410,326000
2411,178000
2412,239000
2413,133000
2414,123000
2415,139000
2416,140000
2417,137450
2418,170000
2419,163000
2420,105000
2421,320000
2422,197900
2423,180000
2424,171000
2425,55000
2426,274900
2427,128500
2428,260000
2429,187000
2430,290000
2431,116000
2432,230000
2433,188500
2434,284000
2435,123500
2436,256000
2437,173000
2438,93000
2439,195500
2440,136500
2441,213000
2442,167500
2443,137000
2444,172500
2445,177500
2446,209000
2447,179500
2448,119900
2449,226000
2450,184000
2451,127000
2452,207500
2453,150000
2454,119000
2455,135000
2456,75190
2457,124500
2458,83500
2459,129500
2460,441929
2461,171750
2462,100000
2463,143000
2464,93000
2465,76000
2466,128500
2467,164900
2468,228000
2469,141000
2470,190550
2471,410000
2472,131500
2473,153000
2474,126000
2475,105000
2476,138000
2477,165500
2478,110000
2479,149000
2480,176000
2481,64500
2482,170000
2483,139950
2484,188000
2485,214000
2486,68000
2487,165000
2488,139000
2489,145000
2490,128500
2491,158450
2492,120500
2493,141000
2494,222500
2495,114500
2496,451950
2497,234000
2498,159000
2499,80000
2500,178400
2501,185000
2502,129900
2503,228000
2504,105000
2505,125000
