GrLivArea,MSSubClass,MSZoning,LotArea,LotShape,LandContour,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,FullBath,BedroomAbvGr,KitchenQual,Fireplaces,GarageType,GarageArea,PavedDrive,OurdoorSpace,MoSold,YrSold,YrMoSold,AgeSold,SaleCondition,Longitude,Latitude,distFromCenter,cluster
1274,20,RL,8814,Reg,Lvl,Inside,CollgCr,1Fam,1Story,7,5,2005,2007,BrkFace,80.0,Gd,TA,PConc,Gd,TA,No,GLQ,925.0,Unf,0.0,1274.0,Ex,Y,SBrkr,1274,0,2,3,Gd,0,Attchd,508.0,Y,362,1,2007,2007.083333,0.083333333,Partial,-93.617273,42.049671,1.8566351417784646,7
864,30,RL,8248,Reg,Lvl,Inside,Edwards,1Fam,1Story,3,3,1914,1950,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,41.0,Unf,0.0,864.0,TA,N,FuseF,864,0,1,2,TA,0,,0.0,N,100,9,2008,2008.75,58.75,Normal,-93.61728,42.050443,1.9097133265909196,7
1610,20,RL,10603,IR1,Lvl,Inside,NWAmes,1Fam,1Story,6,7,1977,2001,BrkFace,28.0,TA,TA,PConc,TA,TA,Mn,ALQ,1200.0,Unf,0.0,1610.0,Gd,Y,SBrkr,1610,0,2,3,Gd,2,Attchd,480.0,Y,236,2,2010,2010.166667,9.166666667,Normal,-93.638933,42.060899,2.795932517237253,0
1091,80,RL,7706,Reg,Lvl,Inside,Mitchel,1Fam,SLvl,6,5,1993,1996,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Rec,114.0,GLQ,270.0,384.0,Ex,Y,SBrkr,1091,0,1,2,TA,0,Attchd,429.0,Y,280,8,2009,2009.666667,13.66666667,Normal,-93.638925,42.060779,2.7880155850618946,0
1486,20,RL,7441,IR1,Lvl,Inside,SawyerW,1Fam,1Story,7,5,2006,2006,BrkFace,170.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1461.0,Ex,Y,SBrkr,1486,0,2,3,Gd,0,Attchd,566.0,Y,32,6,2007,2007.5,1.5,Normal,-93.639062,42.05996,2.737513643558714,0
789,20,RM,6000,Reg,Lvl,Inside,OldTown,1Fam,1Story,5,5,1948,1950,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,104.0,BLQ,169.0,789.0,Ex,Y,SBrkr,789,0,1,2,TA,0,Detchd,250.0,Y,0,4,2008,2008.333333,58.33333333,Partial,-93.639067,42.059909,2.7343128697957426,0
1092,160,RM,1477,Reg,Lvl,Inside,MeadowV,Twnhs,2Story,6,9,1970,2007,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,358.0,Unf,0.0,546.0,Ex,Y,SBrkr,546,546,2,3,TA,0,,0.0,Y,187,3,2008,2008.25,1.25,Normal,-93.639388,42.059956,2.743234233889993,0
2640,70,RM,11700,IR1,Lvl,Corner,OldTown,1Fam,2Story,7,7,1880,2003,None,0.0,Gd,TA,Stone,TA,Fa,No,Unf,0.0,Unf,0.0,1240.0,TA,N,SBrkr,1320,1320,1,4,Gd,1,Detchd,864.0,N,567,5,2009,2009.416667,6.416666667,Normal,-93.639915,42.063294,2.9685313057248015,0
1092,160,RM,1680,Reg,Lvl,Inside,BrDale,Twnhs,2Story,5,5,1971,1971,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,525.0,TA,Y,SBrkr,525,567,1,3,TA,0,Detchd,320.0,Y,0,3,2010,2010.25,39.25,Normal,-93.63988,42.061275,2.8372974310380488,0
1458,60,RL,13204,IR1,Lvl,Inside,Gilbert,1Fam,2Story,7,5,2006,2007,Stone,44.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,608.0,Ex,Y,SBrkr,608,850,2,3,Gd,0,BuiltIn,454.0,Y,133,5,2007,2007.416667,0.416666667,Partial,-93.637871,42.061407,2.8107720525356563,0
1466,20,RL,8925,IR1,HLS,Inside,Timber,1Fam,1Story,8,5,2007,2007,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,0.0,1466.0,Ex,Y,SBrkr,1466,0,2,3,Gd,0,Attchd,610.0,Y,118,7,2009,2009.583333,2.583333333,Normal,-93.637796,42.061231,2.7980299421978447,0
1573,160,FV,2117,Reg,Lvl,Inside,Somerst,Twnhs,2Story,6,5,2000,2000,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,378.0,Unf,0.0,756.0,Ex,Y,SBrkr,769,804,2,3,Gd,0,Detchd,440.0,Y,32,6,2010,2010.5,10.5,Normal,-93.638775,42.060771,2.7848451672273127,0
2090,60,RL,10382,IR1,Lvl,Corner,NWAmes,1Fam,2Story,7,6,1973,1973,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,BLQ,32.0,1107.0,Ex,Y,SBrkr,1107,983,2,3,TA,2,Attchd,484.0,Y,667,11,2009,2009.916667,36.91666667,Normal,-93.638778,42.060822,2.7882052035718115,0
2046,20,RL,15431,Reg,Lvl,Inside,NridgHt,1Fam,1Story,10,5,2005,2006,BrkFace,400.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1430.0,Unf,0.0,1994.0,Ex,Y,SBrkr,2046,0,2,2,Ex,2,Attchd,878.0,Y,428,8,2007,2007.666667,1.666666667,Normal,-93.637482,42.060369,2.7365111479738484,0
886,30,RM,5784,Reg,Lvl,Inside,OldTown,1Fam,1Story,5,8,1938,1996,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,190.0,Gd,Y,FuseA,886,0,1,2,TA,0,Attchd,273.0,Y,244,12,2009,2010.0,14.0,Normal,-93.637482,42.060425,2.740167596637087,0
1258,20,RL,7697,Reg,Lvl,Inside,Gilbert,1Fam,1Story,7,6,2007,2007,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1246.0,Ex,Y,SBrkr,1258,0,2,3,Gd,0,Attchd,462.0,Y,0,8,2007,2007.666667,0.666666667,Partial,-93.637566,42.06048,2.745159677326163,0
1324,20,RL,18494,IR1,Lvl,Corner,Gilbert,1Fam,1Story,6,5,2005,2005,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1324.0,Ex,Y,SBrkr,1324,0,2,3,Gd,0,Attchd,430.0,Y,59,1,2010,2010.083333,5.083333333,Normal,-93.63736,42.060466,2.7408213146604092,0
1848,50,RL,13053,Reg,Bnk,Inside,BrkSide,1Fam,1.5Fin,6,7,1923,2000,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,833.0,Gd,Y,SBrkr,1053,795,1,4,Gd,1,Detchd,370.0,N,220,6,2008,2008.5,8.5,Normal,-93.636718,42.060639,2.741737199214998,0
1269,20,RL,7931,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,6,1960,1960,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,374.0,LwQ,532.0,1269.0,TA,Y,FuseA,1269,0,1,3,TA,1,Detchd,308.0,Y,0,6,2008,2008.5,48.5,Normal,-93.636378,42.060736,2.74275821591355,0
1346,20,RL,11896,IR1,Lvl,Corner,Timber,1Fam,1Story,7,5,2008,2008,Stone,60.0,Gd,TA,PConc,Gd,TA,No,GLQ,78.0,Unf,0.0,1336.0,Ex,Y,SBrkr,1346,0,2,3,Gd,1,Attchd,660.0,Y,148,5,2010,2010.416667,2.416666667,Normal,-93.6364,42.060896,2.7536262196093566,0
1749,60,RL,9272,IR1,Lvl,Inside,CollgCr,1Fam,2Story,7,5,1999,1999,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,500.0,Unf,0.0,842.0,Ex,Y,SBrkr,856,893,2,3,Gd,0,Attchd,515.0,Y,225,6,2006,2006.5,7.5,Normal,-93.636948,42.0623,2.854516181267137,0
492,30,RM,7830,Reg,Lvl,Inside,OldTown,1Fam,1Story,3,5,1921,1950,None,0.0,TA,TA,BrkTil,Fa,TA,No,LwQ,416.0,Unf,0.0,492.0,TA,Y,SBrkr,492,0,1,1,TA,0,Detchd,200.0,N,78,6,2006,2006.5,56.5,Normal,-93.636373,42.061879,2.8179674798160903,0
2030,60,RL,12046,IR1,Lvl,Inside,NWAmes,1Fam,2Story,6,6,1976,1976,BrkFace,298.0,TA,TA,CBlock,TA,TA,No,LwQ,156.0,Unf,0.0,848.0,TA,Y,SBrkr,1118,912,2,4,Gd,1,Attchd,551.0,Y,224,6,2007,2007.5,31.5,Normal,-93.635935,42.062802,2.8724882530207516,0
988,20,RL,7150,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,6,1966,1966,BrkFace,52.0,TA,TA,CBlock,TA,TA,No,BLQ,725.0,Unf,0.0,988.0,TA,Y,SBrkr,988,0,1,3,TA,0,Detchd,360.0,Y,0,11,2007,2007.916667,41.91666667,Normal,-93.635837,42.062798,2.8708098629942573,0
2172,60,RL,11000,Reg,Lvl,FR2,NoRidge,1Fam,2Story,9,5,2000,2000,BrkFace,295.0,Gd,TA,PConc,Ex,TA,Mn,Unf,0.0,Unf,0.0,1519.0,Ex,Y,SBrkr,1533,639,2,4,Ex,1,BuiltIn,687.0,Y,315,6,2008,2008.5,8.5,Normal,-93.635798,42.062891,2.8764140612067424,0
1080,20,RL,9187,Reg,Bnk,Corner,Mitchel,1Fam,1Story,6,5,1983,1983,None,0.0,TA,Gd,PConc,TA,TA,No,ALQ,336.0,Unf,0.0,1084.0,TA,Y,SBrkr,1080,0,1,3,TA,0,Attchd,484.0,Y,278,6,2007,2007.5,24.5,Normal,-93.635838,42.062956,2.8812957120408558,0
1312,20,RL,11355,IR1,Lvl,Corner,NAmes,1Fam,1Story,7,7,1958,2001,BrkFace,125.0,TA,TA,CBlock,TA,TA,No,BLQ,637.0,Unf,0.0,1312.0,Ex,Y,SBrkr,1312,0,1,3,TA,1,Attchd,495.0,Y,448,4,2008,2008.333333,7.333333333,Normal,-93.635932,42.062956,2.8826464706642216,0
925,20,RL,8638,IR1,Lvl,Inside,Sawyer,1Fam,1Story,5,6,1963,1963,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,181.0,Unf,0.0,925.0,Gd,Y,SBrkr,925,0,1,2,TA,0,Detchd,484.0,Y,277,10,2006,2006.833333,43.83333333,Normal,-93.637442,42.060598,2.750804176081167,0
1534,70,RL,10800,Reg,Lvl,Inside,OldTown,1Fam,2Story,5,9,1895,1999,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Unf,0.0,Unf,0.0,736.0,Ex,Y,SBrkr,751,783,1,3,Gd,0,,0.0,N,112,7,2007,2007.583333,8.583333333,Normal,-93.636146,42.061664,2.800355420027645,0
2376,60,RL,14215,IR1,Lvl,Corner,NridgHt,1Fam,2Story,8,5,2005,2006,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1158.0,Ex,Y,SBrkr,1158,1218,3,4,Gd,1,BuiltIn,853.0,Y,394,11,2006,2006.916667,0.916666667,Partial,-93.636972,42.061326,2.7908692726206086,0
1959,60,RL,11796,IR1,Lvl,Inside,Gilbert,1Fam,2Story,7,5,2004,2005,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,847.0,Ex,Y,SBrkr,847,1112,2,4,Gd,1,BuiltIn,434.0,Y,148,7,2007,2007.583333,2.583333333,Normal,-93.637189,42.061242,2.788826048087383,0
1716,50,RL,11409,Reg,Lvl,Inside,Edwards,1Fam,1.5Fin,5,4,1949,2008,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,292.0,Unf,0.0,768.0,Gd,Y,SBrkr,1148,568,1,3,TA,1,Attchd,281.0,Y,160,1,2009,2009.083333,1.083333333,Normal,-93.634341,42.063067,2.868211217443639,0
936,30,RM,4485,Reg,Lvl,Inside,OldTown,1Fam,1Story,5,7,1920,1950,None,0.0,TA,TA,PConc,TA,TA,No,BLQ,579.0,Unf,0.0,936.0,TA,Y,SBrkr,936,0,1,2,TA,1,,0.0,P,186,5,2010,2010.416667,60.41666667,Normal,-93.634265,42.062903,2.8562716422020173,0
1230,50,RM,10440,Reg,Lvl,Corner,OldTown,1Fam,2Story,5,6,1910,1981,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,440.0,Gd,Y,SBrkr,682,548,1,2,TA,0,Detchd,440.0,Y,202,5,2009,2009.416667,28.41666667,Normal,-93.633876,42.062976,2.8561648016006114,0
2592,90,RL,10890,Reg,Lvl,Inside,SWISU,Duplex,2Story,5,6,1923,1950,None,0.0,TA,TA,PConc,TA,TA,Mn,Rec,371.0,Unf,0.0,1296.0,Fa,N,FuseA,1296,1296,2,6,TA,0,,0.0,Y,982,1,2007,2007.083333,57.08333333,AdjLand,-93.633792,42.062978,2.8552401446224036,0
1565,120,FV,3784,IR1,Lvl,Inside,Somerst,TwnhsE,1Story,8,5,2006,2007,Stone,36.0,Gd,TA,PConc,Gd,TA,No,GLQ,60.0,Unf,0.0,1511.0,Ex,Y,SBrkr,1565,0,2,2,Gd,0,Attchd,476.0,Y,120,2,2007,2007.166667,0.166666667,Partial,-93.633739,42.061981,2.787883707199394,0
1868,80,RL,12090,Reg,Lvl,Inside,NWAmes,1Fam,SLvl,6,7,1984,2003,BrkFace,74.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,585.0,Ex,Y,SBrkr,1140,728,3,3,TA,1,BuiltIn,477.0,Y,527,1,2007,2007.083333,4.083333333,Abnorml,-93.633781,42.061374,2.7478782884176516,0
1422,20,RL,8500,Reg,Lvl,FR2,CollgCr,1Fam,1Story,7,5,2004,2004,BrkFace,106.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1422.0,Ex,Y,SBrkr,1422,0,2,3,Gd,0,Attchd,626.0,Y,252,11,2007,2007.916667,3.916666667,Normal,-93.633547,42.061633,2.7621644604061393,0
1200,90,RL,10800,Reg,Lvl,Inside,Edwards,Duplex,1Story,5,5,1987,1988,None,0.0,TA,TA,CBlock,Gd,Gd,Gd,GLQ,1200.0,Unf,0.0,1200.0,TA,Y,SBrkr,1200,0,3,3,TA,0,,0.0,Y,120,3,2009,2009.25,21.25,Alloca,-93.633905,42.060865,2.715556068086252,0
1641,50,RL,10759,Reg,Lvl,Corner,Sawyer,1Fam,1.5Fin,5,4,1972,1972,None,0.0,TA,Gd,CBlock,Gd,TA,No,LwQ,190.0,ALQ,811.0,1001.0,TA,Y,SBrkr,1001,640,2,4,TA,1,Detchd,490.0,Y,92,7,2008,2008.583333,36.58333333,Normal,-93.633826,42.060728,2.705371234113031,0
1973,20,RL,14226,Reg,Lvl,Corner,NridgHt,1Fam,1Story,8,5,2006,2006,BrkFace,375.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1935.0,Gd,Y,SBrkr,1973,0,2,3,Gd,1,Attchd,895.0,Y,360,7,2007,2007.583333,1.583333333,Partial,-93.633797,42.06076,2.707119998365575,0
1248,20,RL,10800,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,7,1960,1960,BrkFace,88.0,TA,TA,CBlock,TA,TA,No,ALQ,632.0,Unf,0.0,1248.0,Ex,Y,SBrkr,1248,0,1,3,TA,0,Attchd,286.0,Y,0,5,2006,2006.416667,46.41666667,Normal,-93.633024,42.061178,2.725133248961152,0
2418,60,RL,10542,Reg,Lvl,Inside,NoRidge,1Fam,2Story,7,5,1993,1994,BrkFace,651.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1173.0,Unf,0.0,1311.0,Ex,Y,SBrkr,1325,1093,2,3,Gd,1,Attchd,983.0,Y,620,8,2008,2008.666667,14.66666667,Normal,-93.632852,42.06112,2.719123327016653,0
1755,60,RL,11949,Reg,Lvl,Inside,NoRidge,1Fam,2Story,7,8,1991,2008,BrkFace,196.0,Gd,Gd,PConc,Gd,TA,No,GLQ,601.0,ALQ,216.0,975.0,Ex,Y,SBrkr,975,780,2,3,Gd,1,Attchd,524.0,Y,562,7,2009,2009.583333,1.583333333,Normal,-93.631604,42.060625,2.6711732741954304,0
672,30,RM,8534,Reg,Low,Inside,IDOTRR,1Fam,1Story,4,4,1925,1950,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,432.0,TA,N,FuseA,672,0,1,2,TA,0,,0.0,N,112,6,2006,2006.5,56.5,Normal,-93.635716,42.0591,2.6248356244770115,0
1626,50,RL,10512,Reg,Lvl,Inside,Edwards,1Fam,1.5Fin,6,6,1954,1954,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,491.0,Unf,0.0,988.0,Ex,Y,SBrkr,988,638,1,3,Gd,0,Attchd,332.0,Y,366,5,2007,2007.416667,53.41666667,Normal,-93.636345,42.059592,2.6670878467039305,0
1726,120,FV,3830,IR1,Lvl,Inside,Somerst,TwnhsE,1Story,6,5,2008,2008,Stone,280.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1726.0,Ex,Y,SBrkr,1726,0,2,2,Gd,1,Attchd,561.0,Y,254,1,2009,2009.083333,1.083333333,Partial,-93.639151,42.059408,2.70355885445088,0
2748,60,RL,13418,Reg,Lvl,Inside,NridgHt,1Fam,2Story,9,5,2006,2006,BrkFace,270.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1420.0,Unf,0.0,1850.0,Ex,Y,SBrkr,1850,898,2,4,Ex,1,BuiltIn,850.0,Y,394,10,2008,2008.833333,2.833333333,Abnorml,-93.63921,42.059283,2.6966090307561585,0
894,20,RL,10650,Reg,Lvl,Corner,CollgCr,1Fam,1Story,5,6,1976,1976,None,0.0,TA,TA,CBlock,TA,Gd,Av,LwQ,182.0,ALQ,712.0,894.0,TA,Y,SBrkr,894,0,1,3,TA,0,Attchd,308.0,Y,365,2,2010,2010.166667,34.16666667,Normal,-93.640613,42.058953,2.70256087061806,2
2470,20,RL,12720,Reg,HLS,Inside,NridgHt,1Fam,1Story,10,5,2003,2003,Stone,680.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,2257.0,Unf,0.0,2535.0,Ex,Y,SBrkr,2470,0,1,1,Ex,2,Attchd,789.0,Y,435,2,2008,2008.166667,5.166666667,Normal,-93.637865,42.059562,2.69046165398439,0
1174,20,RL,12250,IR1,Lvl,Inside,CollgCr,1Fam,1Story,5,6,1978,1978,BrkFace,180.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,781.0,Unf,0.0,864.0,Ex,Y,SBrkr,1174,0,1,3,TA,0,Attchd,528.0,Y,491,5,2008,2008.416667,30.41666667,Normal,-93.637883,42.059517,2.6878505123804572,0
1324,120,RL,6240,Reg,Lvl,Inside,NridgHt,TwnhsE,1Story,8,5,2006,2006,BrkFace,176.0,Gd,TA,PConc,Gd,TA,No,GLQ,863.0,Unf,0.0,1324.0,Ex,Y,SBrkr,1324,0,2,2,Gd,1,Attchd,550.0,Y,230,12,2009,2010.0,4.0,Normal,-93.639069,42.059129,2.684077180185192,0
2447,50,RL,9638,Reg,Lvl,Inside,SWISU,1Fam,1.5Fin,6,7,1919,1990,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,804.0,Ex,Y,SBrkr,1699,748,2,4,Gd,1,Detchd,336.0,Y,430,3,2010,2010.25,20.25,Normal,-93.639069,42.059161,2.6861369111601205,0
2199,75,RL,9660,Reg,Lvl,Inside,NoRidge,1Fam,2.5Unf,8,5,1997,1997,BrkFace,1290.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1173.0,Ex,Y,SBrkr,1182,1017,2,3,Gd,1,Attchd,516.0,Y,131,9,2008,2008.75,11.75,Normal,-93.639068,42.059193,2.688178337349536,0
1374,80,RL,13300,IR1,Lvl,Inside,Gilbert,1Fam,SLvl,7,5,2004,2004,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,326.0,Unf,0.0,384.0,Ex,Y,SBrkr,744,630,2,3,Gd,1,BuiltIn,400.0,Y,100,6,2010,2010.5,6.5,Normal,-93.639068,42.059242,2.691333140941164,0
1335,20,FV,9000,Reg,Lvl,Inside,Somerst,1Fam,1Story,7,5,2006,2007,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1335.0,Ex,Y,SBrkr,1335,0,2,3,Gd,0,Attchd,575.0,Y,210,6,2007,2007.5,0.5,Partial,-93.639007,42.059364,2.698065570351222,0
1588,20,RL,10264,IR1,Lvl,Inside,CollgCr,1Fam,1Story,7,5,1999,1999,BrkFace,183.0,Gd,TA,PConc,Gd,TA,Av,ALQ,1162.0,Unf,0.0,1588.0,Ex,Y,SBrkr,1588,0,2,3,Gd,0,Attchd,472.0,Y,187,8,2006,2006.666667,7.666666667,Normal,-93.636947,42.05848,2.604308293979715,0
