"","PID","GrLivArea","SalePrice","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","Prop_Addr","Longitude","Latitude",".group"
"11",526352090,1277,167000,20,"RL",85,10628,"Pave","","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",7,5,1970,1970,"Flat","Tar&Grv","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","Gd","Gd","GLQ",778,"Unf",0,499,1277,"GasA","TA","Y","SBrkr",1277,0,0,1,0,1,0,2,1,"TA",5,"Typ",1,"Po","Attchd",1970,"Unf",2,526,"TA","TA","Y",0,0,0,0,176,0,"","GdWo","",0,4,2007,"WD ","Normal","3010 KELLOGG AVE",-93.618503,42.051357,11
"12",526353030,2110,244000,20,"RL",93,11160,"Pave","","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",7,5,1968,1968,"Hip","CompShg","BrkFace","BrkFace","None",0,"Gd","TA","CBlock","TA","TA","No","ALQ",1065,"Unf",0,1045,2110,"GasA","Ex","Y","SBrkr",2110,0,0,1,0,2,1,3,1,"Ex",8,"Typ",2,"TA","Attchd",1968,"Fin",2,522,"TA","TA","Y",0,0,0,0,0,0,"","","",0,4,2010,"WD ","Normal","3004 NORTHWOOD DR",-93.61732,42.051245,12
"13",526353050,2117,237500,20,"RL",NA,12925,"Pave","","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,7,1970,1970,"Gable","CompShg","BrkFace","Plywood","None",0,"TA","TA","CBlock","TA","TA","Mn","BLQ",865,"Unf",0,340,1205,"GasA","Ex","Y","SBrkr",2117,0,0,0,0,2,1,4,1,"TA",7,"Typ",2,"Gd","Attchd",1970,"Fin",2,550,"TA","TA","Y",0,42,0,0,0,0,"","","",0,5,2008,"WD ","Normal","2907 DUFF AVE",-93.6163289,42.051446,13
"14",526354020,1851,192100,20,"RL",90,11727,"Pave","","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",7,6,1969,1969,"Gable","CompShg","HdBoard","HdBoard","BrkFace",434,"TA","Gd","CBlock","TA","TA","Mn","Unf",0,"Unf",0,1851,1851,"GasA","Gd","Y","SBrkr",1851,0,0,0,0,2,0,3,1,"TA",8,"Typ",1,"TA","Attchd",1969,"Fin",2,506,"TA","TA","Y",0,146,0,0,0,0,"","","",0,3,2006,"WD ","Normal","2919 NORTHWOOD DR",-93.617432,42.050507,14
"15",526354070,2112,206900,60,"RL",85,11075,"Pave","","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","2Story",6,5,1969,1969,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Fa","TA","Mn","ALQ",500,"LwQ",276,176,952,"GasA","TA","Y","SBrkr",1092,1020,0,0,0,2,1,4,1,"TA",9,"Typ",2,"Gd","Attchd",1969,"Unf",2,576,"TA","TA","Y",280,0,0,0,0,0,"","","",0,6,2008,"WD ","Normal","2811 NORTHWOOD DR",-93.617424,42.049587,15
"16",526355080,2704,345000,80,"RL",75,13860,"Pave","","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","SLvl",8,7,1972,1995,"Gable","CompShg","Plywood","Wd Sdng","None",0,"Gd","TA","CBlock","Gd","TA","Gd","GLQ",1410,"Unf",0,542,1952,"GasA","Gd","Y","SBrkr",2000,704,0,1,0,2,1,4,1,"Ex",9,"Typ",3,"TA","Attchd",1972,"Fin",2,538,"TA","TA","Y",269,111,0,0,0,0,"","MnPrv","",0,7,2009,"WD ","Normal","2802 THOMPSON DR",-93.615524,42.049322,16
"17",526355170,2223,244000,20,"RL",95,13651,"Pave","","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",7,6,1973,1973,"Gable","CompShg","Plywood","Plywood","BrkFace",1115,"TA","Gd","CBlock","Gd","TA","Gd","ALQ",1880,"Unf",0,343,2223,"GasA","Ex","Y","SBrkr",2223,0,0,1,0,2,0,3,1,"TA",8,"Typ",2,"Gd","Attchd",1973,"Fin",2,516,"TA","TA","Y",300,0,0,0,0,0,"","","",0,2,2007,"WD ","Normal","2820 NORTHWOOD DR",-93.617273,42.049671,17
"18",526355190,2217,268000,20,"RL",95,15865,"Pave","","IR1","Lvl","AllPub","Inside","Mod","NAmes","Norm","Norm","1Fam","1Story",8,6,1970,1970,"Flat","Tar&Grv","Wd Sdng","Wd Sdng","None",0,"Gd","Gd","PConc","TA","Gd","Gd","ALQ",351,"Rec",823,1043,2217,"GasA","Ex","Y","SBrkr",2217,0,0,1,0,2,0,4,1,"Gd",8,"Typ",1,"TA","Attchd",1970,"Unf",2,621,"TA","TA","Y",81,207,0,0,224,0,"","","",0,10,2007,"WD ","Normal","2910 NORTHWOOD DR",-93.61728,42.050443,18
"19",527105010,1629,189900,60,"RL",74,13830,"Pave","","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",5,5,1997,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",791,"Unf",0,137,928,"GasA","Gd","Y","SBrkr",928,701,0,0,0,2,1,3,1,"TA",6,"Typ",1,"TA","Attchd",1997,"Fin",2,482,"TA","TA","Y",212,34,0,0,0,0,"","MnPrv","",0,3,2010,"WD ","Normal","4025 BERKSHIRE AVE",-93.638933,42.060899,19
"20",527105030,1604,195500,60,"RL",78,9978,"Pave","","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,6,1998,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",20,"TA","TA","PConc","TA","TA","No","GLQ",602,"Unf",0,324,926,"GasA","Ex","Y","SBrkr",926,678,0,0,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","Attchd",1998,"Fin",2,470,"TA","TA","Y",360,36,0,0,0,0,"","","",0,6,2010,"WD ","Normal","4011 BERKSHIRE AVE",-93.638925,42.060779,20
"21",527105050,1604,187500,60,"RL",72,8702,"Pave","","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1997,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","BLQ",706,"Unf",0,220,926,"GasA","Ex","Y","SBrkr",926,678,0,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",1997,"Fin",2,470,"TA","TA","Y",0,36,0,0,0,0,"","","",0,4,2008,"WD ","Normal","3913 BERKSHIRE AVE",-93.639062,42.05996,21
"22",527105060,1525,183500,60,"RL",60,8238,"Pave","","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1997,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","GLQ",700,"Unf",0,113,813,"GasA","Ex","Y","SBrkr",813,712,0,1,0,2,1,3,1,"TA",6,"Typ",1,"TA","Attchd",1997,"Fin",2,400,"TA","TA","Y",421,72,0,0,0,0,"","","",0,5,2006,"WD ","Normal","3907 BERKSHIRE AVE",-93.639067,42.059909,22
"23",527105070,1608,189500,60,"RL",88,10179,"Pave","","IR1","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1997,1997,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","ALQ",847,"Unf",0,98,945,"GasA","Ex","Y","SBrkr",945,663,0,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",1997,"Fin",2,470,"TA","TA","Y",252,30,0,0,0,0,"","","",0,7,2009,"WD ","Normal","2209 STONE BROOKE RD",-93.639388,42.059956,23
"24",527105130,2283,270000,60,"RL",NA,11792,"Pave","","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",8,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",188,"Gd","TA","PConc","Gd","TA","Gd","GLQ",850,"Unf",0,158,1008,"GasA","Ex","Y","SBrkr",1008,1275,0,0,0,2,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn",2003,"Fin",3,632,"TA","TA","Y",120,46,0,0,0,0,"","","",0,8,2009,"WD ","Normal","4006 HYDE AVE",-93.639915,42.063294,24
"25",527105140,1733,225000,60,"RL",NA,12394,"Pave","","IR1","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Gd","Unf",0,"Unf",0,847,847,"GasA","Ex","Y","SBrkr",847,886,0,0,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","BuiltIn",2003,"Fin",2,433,"TA","TA","Y",100,48,0,0,0,0,"","","",0,10,2007,"WD ","Family","4012 HYDE AVE",-93.63988,42.061275,25
"26",527106010,2236,222000,60,"RL",NA,13006,"Pave","","IR1","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,1997,1997,"Gable","CompShg","HdBoard","HdBoard","BrkFace",285,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,964,964,"GasA","Gd","Y","SBrkr",993,1243,0,0,0,2,1,4,1,"Gd",8,"Typ",1,"TA","BuiltIn",1997,"Fin",2,642,"TA","TA","Y",0,0,0,0,0,0,"","","",0,11,2006,"WD ","Normal","4033 EISENHOWER AVE",-93.637871,42.061407,26
"27",527106050,1470,165000,60,"RL",65,8139,"Pave","","Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1995,1996,"Gable","CompShg","VinylSd","VinylSd","BrkFace",119,"TA","TA","PConc","Gd","TA","No","ALQ",476,"Unf",0,204,680,"GasA","Gd","Y","SBrkr",680,790,0,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","BuiltIn",1995,"Fin",2,420,"TA","TA","Y",192,49,0,0,0,0,"","","",0,10,2008,"WD ","Normal","4009 EISENHOWER AVE",-93.637796,42.061231,27
"28",527106140,1604,195500,60,"RL",59,9535,"Pave","","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Gd","GLQ",851,"Unf",0,75,926,"GasA","Ex","Y","SBrkr",926,678,0,0,0,2,1,3,1,"TA",7,"Typ",0,"","Attchd",1998,"Fin",2,472,"TA","TA","Y",100,82,0,0,0,0,"","","",0,5,2008,"WD ","Normal","4008 BERKSHIRE AVE",-93.638775,42.060771,28
"29",527106150,1638,192000,60,"RL",59,9042,"Pave","","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Gd","GLQ",828,"Unf",0,115,943,"GasA","Gd","Y","SBrkr",943,695,0,1,0,2,1,3,1,"TA",7,"Typ",2,"TA","Attchd",1998,"Fin",2,472,"TA","TA","Y",100,38,0,0,0,0,"","","",0,7,2008,"WD ","Normal","4014 BERKSHIRE AVE",-93.638778,42.060822,29
"30",527107010,1636,173000,60,"RL",NA,15038,"Pave","","IR2","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1996,1996,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","No","Rec",138,"Unf",0,778,916,"GasA","Gd","Y","SBrkr",916,720,0,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",1996,"Fin",2,386,"TA","TA","Y",168,84,0,0,0,0,"","","",0,11,2008,"WD ","Normal","3902 EISENHOWER AVE",-93.637482,42.060369,30
"31",527107020,1671,170000,60,"RL",NA,13041,"Pave","","IR2","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1995,1995,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,781,781,"GasA","Gd","Y","SBrkr",781,890,0,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",1995,"Fin",2,423,"TA","TA","Y",0,84,0,0,0,0,"","","",0,2,2006,"WD ","Normal","3908 EISENHOWER AVE",-93.637482,42.060425,31
"32",527107030,1498,187500,60,"RL",NA,13031,"Pave","","IR2","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1995,1996,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","No","ALQ",592,"Unf",0,99,691,"GasA","Gd","Y","SBrkr",691,807,0,0,0,2,1,3,1,"TA",6,"Typ",1,"TA","Attchd",1995,"Fin",2,409,"TA","TA","Y",315,44,0,0,0,0,"","","",0,7,2006,"WD ","Normal","3914 EISENHOWER AVE",-93.637566,42.06048,32
"33",527107040,1572,168000,60,"RL",NA,10364,"Pave","","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1995,1996,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,806,806,"GasA","Gd","Y","SBrkr",806,766,0,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","BuiltIn",1995,"Fin",2,373,"TA","TA","Y",0,40,0,0,0,0,"","","",0,5,2007,"WD ","Normal","1910 WYNGATE DR",-93.63736,42.060466,33
"34",527107090,1384,177900,20,"RL",53,14137,"Pave","","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",5,5,1996,1997,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",450,"Unf",0,898,1348,"GasA","Gd","Y","SBrkr",1384,0,0,1,0,2,0,3,1,"Gd",7,"Typ",0,"","Attchd",1996,"Unf",2,404,"TA","TA","Y",0,39,0,0,0,0,"","","",0,11,2008,"WD ","Normal","1936 WYNGATE DR",-93.636718,42.060639,34
"35",527107120,1776,202000,60,"RL",54,9783,"Pave","","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1996,1996,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,821,821,"GasA","Gd","Y","SBrkr",821,955,0,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","BuiltIn",1996,"Fin",2,443,"TA","TA","Y",286,116,0,0,0,0,"","","",0,5,2006,"WD ","Normal","1948 WYNGATE DR",-93.636378,42.060736,35
"36",527107130,1628,189000,80,"RL",60,8400,"Pave","","Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","SLvl",7,5,1996,1997,"Gable","CompShg","HdBoard","HdBoard","BrkFace",32,"TA","TA","PConc","Gd","TA","No","GLQ",284,"Unf",0,100,384,"GasA","Gd","Y","SBrkr",958,670,0,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","BuiltIn",1996,"Fin",2,390,"TA","TA","Y",48,72,0,0,0,0,"","","Shed",490,6,2009,"WD ","Normal","1952 WYNGATE DR",-93.6364,42.060896,36
"37",527107210,1446,175000,60,"RL",57,21872,"Pave","","IR2","HLS","AllPub","FR2","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,1996,1997,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","Gd","GLQ",604,"Unf",0,125,729,"GasA","Ex","Y","SBrkr",729,717,0,0,1,2,1,3,1,"TA",6,"Typ",1,"TA","Attchd",1996,"Unf",2,406,"TA","TA","Y",264,22,0,0,0,0,"","","",0,8,2008,"WD ","Normal","2023 WYNGATE DR",-93.636948,42.0623,37
"38",527107240,1511,185000,60,"RL",70,11207,"Pave","","IR1","HLS","AllPub","FR2","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1997,1997,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Av","GLQ",714,"Unf",0,88,802,"GasA","Gd","Y","SBrkr",802,709,0,1,0,2,1,3,1,"TA",8,"Typ",1,"TA","Attchd",1997,"Fin",2,413,"TA","TA","Y",95,75,0,0,0,0,"","","",0,6,2006,"WD ","Normal","2035 WYNGATE DR",-93.636373,42.061879,38
"39",527108030,2064,250000,60,"RL",50,13128,"Pave","","IR1","HLS","AllPub","CulDSac","Gtl","Gilbert","Norm","Norm","1Fam","2Story",8,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",216,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1074,1074,"GasA","Ex","Y","SBrkr",1074,990,0,0,0,2,1,4,1,"Gd",7,"Typ",1,"Gd","Attchd",2005,"Fin",2,527,"TA","TA","Y",0,119,0,0,0,0,"","","",0,1,2006,"WD ","Normal","4313 HARRISON CIR",-93.635935,42.062802,39
"40",527108040,1801,239900,60,"RL",72,10463,"Pave","","IR1","HLS","AllPub","CulDSac","Gtl","Gilbert","Norm","Norm","1Fam","2Story",8,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,893,893,"GasA","Ex","Y","SBrkr",901,900,0,0,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd",2005,"Fin",3,800,"TA","TA","Y",0,116,0,0,0,0,"","","",0,6,2006,"WD ","Normal","4309 HARRISON CIR",-93.635837,42.062798,40
"41",527108060,2212,309000,60,"RL",42,13751,"Pave","","IR1","HLS","AllPub","CulDSac","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",248,"Gd","TA","PConc","Gd","TA","Av","GLQ",60,"Unf",0,1640,1700,"GasA","Ex","Y","SBrkr",1700,512,0,1,0,2,1,3,1,"Gd",9,"Typ",1,"Gd","Attchd",2006,"Fin",3,773,"TA","TA","Y",237,38,0,0,115,0,"","","",0,5,2006,"New","Partial","4301 HARRISON CIR",-93.635798,42.062891,41
"42",527108070,1746,377500,20,"RL",42,14892,"Pave","","IR1","HLS","AllPub","CulDSac","Gtl","Gilbert","Norm","Norm","1Fam","1Story",9,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",160,"Ex","TA","PConc","Ex","TA","Gd","GLQ",1320,"Unf",0,426,1746,"GasA","Ex","Y","SBrkr",1746,0,0,1,0,2,0,3,1,"Ex",7,"Typ",2,"Gd","Attchd",2006,"Fin",3,758,"TA","TA","Y",201,39,0,0,0,0,"","","",0,10,2009,"WD ","Normal","4302 HARRISON CIR",-93.635838,42.062956,42
"43",527108090,2021,274725,60,"RL",168,23257,"Pave","","IR3","HLS","AllPub","CulDSac","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","Gd","No","Unf",0,"Unf",0,868,868,"GasA","Ex","Y","SBrkr",887,1134,0,0,0,2,1,3,1,"Gd",9,"Typ",1,"Gd","BuiltIn",2006,"RFn",2,422,"TA","TA","Y",0,100,0,0,0,0,"","","",0,9,2006,"New","Partial","4316 HARRISON CIR",-93.635932,42.062956,43
