,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotArea,LotShape,LandContour,LotConfig,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,FullBath,BedroomAbvGr,KitchenQual,Fireplaces,GarageType,GarageArea,PavedDrive,OurdoorSpace,MoSold,YrSold,YrMoSold,AgeSold,SaleCondition,Longitude,Latitude,nghbr_Blueste,nghbr_BrDale,nghbr_BrkSide,nghbr_ClearCr,nghbr_CollgCr,nghbr_Crawfor,nghbr_Edwards,nghbr_Gilbert,nghbr_Greens,nghbr_GrnHill,nghbr_IDOTRR,nghbr_Landmrk,nghbr_MeadowV,nghbr_Mitchel,nghbr_NAmes,nghbr_NPkVill,nghbr_NWAmes,nghbr_NoRidge,nghbr_NridgHt,nghbr_OldTown,nghbr_SWISU,nghbr_Sawyer,nghbr_SawyerW,nghbr_Somerst,nghbr_StoneBr,nghbr_Timber,nghbr_Veenker
10,528186170,1342,219500,120,RL,6240,Reg,Lvl,Inside,TwnhsE,1Story,8,5,2006,2007,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,24.0,Unf,0.0,1342.0,Ex,Y,SBrkr,1342,0,2,2,Gd,1,Attchd,550.0,Y,35,2,2008,2008.166667,1.166666667,Normal,-93.618503,42.051357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,923426070,1274,136000,60,RL,10475,Reg,Lvl,Inside,1Fam,2Story,5,5,1991,1991,None,0.0,TA,TA,PConc,Gd,TA,No,Rec,458.0,Unf,0.0,624.0,Gd,Y,SBrkr,624,650,1,3,TA,0,Detchd,576.0,Y,22,3,2010,2010.25,19.25,Normal,-93.61732,42.051245,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,902204080,861,80000,30,RM,7404,Reg,Lvl,Corner,1Fam,1Story,4,6,1920,1950,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,861.0,TA,Y,SBrkr,861,0,1,2,TA,0,Detchd,288.0,N,128,11,2009,2009.916667,59.91666667,Normal,-93.6163289,42.051446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,535105100,1394,159000,20,RL,9500,IR1,Lvl,Inside,1Fam,1Story,6,5,1963,1963,BrkFace,247.0,TA,TA,CBlock,Gd,TA,No,BLQ,609.0,Unf,0.0,1394.0,Gd,Y,SBrkr,1394,0,1,3,TA,2,Attchd,514.0,Y,261,7,2009,2009.583333,46.58333333,Normal,-93.617432,42.050507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,907405020,1536,214000,20,RL,9135,Reg,Lvl,Inside,1Fam,1Story,7,5,2002,2003,BrkFace,113.0,Gd,TA,PConc,Gd,TA,Av,GLQ,810.0,Unf,0.0,1536.0,Ex,Y,SBrkr,1536,0,2,3,Gd,0,Attchd,532.0,Y,266,12,2008,2009.0,6.0,Normal,-93.617424,42.049587,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,531382110,1680,163000,60,RL,8480,IR1,Lvl,Inside,1Fam,2Story,6,5,1993,1994,BrkFace,120.0,Gd,TA,PConc,Gd,TA,No,GLQ,602.0,Unf,0.0,886.0,Ex,Y,SBrkr,886,794,2,3,Gd,0,Attchd,474.0,Y,240,10,2008,2008.833333,14.83333333,Normal,-93.615524,42.049322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,906380120,1274,203000,20,RL,8814,Reg,Lvl,Inside,1Fam,1Story,7,5,2005,2007,BrkFace,80.0,Gd,TA,PConc,Gd,TA,No,GLQ,925.0,Unf,0.0,1274.0,Ex,Y,SBrkr,1274,0,2,3,Gd,0,Attchd,508.0,Y,362,1,2007,2007.083333,0.083333333,Partial,-93.617273,42.049671,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,909101060,864,67000,30,RL,8248,Reg,Lvl,Inside,1Fam,1Story,3,3,1914,1950,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,41.0,Unf,0.0,864.0,TA,N,FuseF,864,0,1,2,TA,0,,0.0,N,100,9,2008,2008.75,58.75,Normal,-93.61728,42.050443,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,534152050,1610,205000,20,RL,10603,IR1,Lvl,Inside,1Fam,1Story,6,7,1977,2001,BrkFace,28.0,TA,TA,PConc,TA,TA,Mn,ALQ,1200.0,Unf,0.0,1610.0,Gd,Y,SBrkr,1610,0,2,3,Gd,2,Attchd,480.0,Y,236,2,2010,2010.166667,9.166666667,Normal,-93.638933,42.060899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,923252075,1091,131250,80,RL,7706,Reg,Lvl,Inside,1Fam,SLvl,6,5,1993,1996,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Rec,114.0,GLQ,270.0,384.0,Ex,Y,SBrkr,1091,0,1,2,TA,0,Attchd,429.0,Y,280,8,2009,2009.666667,13.66666667,Normal,-93.638925,42.060779,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,531376060,1486,181000,20,RL,7441,IR1,Lvl,Inside,1Fam,1Story,7,5,2006,2006,BrkFace,170.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1461.0,Ex,Y,SBrkr,1486,0,2,3,Gd,0,Attchd,566.0,Y,32,6,2007,2007.5,1.5,Normal,-93.639062,42.05996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,902201120,789,115000,20,RM,6000,Reg,Lvl,Inside,1Fam,1Story,5,5,1948,1950,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,104.0,BLQ,169.0,789.0,Ex,Y,SBrkr,789,0,1,2,TA,0,Detchd,250.0,Y,0,4,2008,2008.333333,58.33333333,Partial,-93.639067,42.059909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,923228080,1092,98000,160,RM,1477,Reg,Lvl,Inside,Twnhs,2Story,6,9,1970,2007,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,358.0,Unf,0.0,546.0,Ex,Y,SBrkr,546,546,2,3,TA,0,,0.0,Y,187,3,2008,2008.25,1.25,Normal,-93.639388,42.059956,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,902326030,2640,265979,70,RM,11700,IR1,Lvl,Corner,1Fam,2Story,7,7,1880,2003,None,0.0,Gd,TA,Stone,TA,Fa,No,Unf,0.0,Unf,0.0,1240.0,TA,N,SBrkr,1320,1320,1,4,Gd,1,Detchd,864.0,N,567,5,2009,2009.416667,6.416666667,Normal,-93.639915,42.063294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,527451330,1092,105500,160,RM,1680,Reg,Lvl,Inside,Twnhs,2Story,5,5,1971,1971,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,525.0,TA,Y,SBrkr,525,567,1,3,TA,0,Detchd,320.0,Y,0,3,2010,2010.25,39.25,Normal,-93.63988,42.061275,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,528218100,1458,168165,60,RL,13204,IR1,Lvl,Inside,1Fam,2Story,7,5,2006,2007,Stone,44.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,608.0,Ex,Y,SBrkr,608,850,2,3,Gd,0,BuiltIn,454.0,Y,133,5,2007,2007.416667,0.416666667,Partial,-93.637871,42.061407,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,916386140,1466,201000,20,RL,8925,IR1,HLS,Inside,1Fam,1Story,8,5,2007,2007,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,0.0,1466.0,Ex,Y,SBrkr,1466,0,2,3,Gd,0,Attchd,610.0,Y,118,7,2009,2009.583333,2.583333333,Normal,-93.637796,42.061231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,533221090,1573,177500,160,FV,2117,Reg,Lvl,Inside,Twnhs,2Story,6,5,2000,2000,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,378.0,Unf,0.0,756.0,Ex,Y,SBrkr,769,804,2,3,Gd,0,Detchd,440.0,Y,32,6,2010,2010.5,10.5,Normal,-93.638775,42.060771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,534128010,2090,200000,60,RL,10382,IR1,Lvl,Corner,1Fam,2Story,7,6,1973,1973,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,BLQ,32.0,1107.0,Ex,Y,SBrkr,1107,983,2,3,TA,2,Attchd,484.0,Y,667,11,2009,2009.916667,36.91666667,Normal,-93.638778,42.060822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,528106110,2046,450000,20,RL,15431,Reg,Lvl,Inside,1Fam,1Story,10,5,2005,2006,BrkFace,400.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1430.0,Unf,0.0,1994.0,Ex,Y,SBrkr,2046,0,2,2,Ex,2,Attchd,878.0,Y,428,8,2007,2007.666667,1.666666667,Normal,-93.637482,42.060369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,902206260,886,91300,30,RM,5784,Reg,Lvl,Inside,1Fam,1Story,5,8,1938,1996,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,190.0,Gd,Y,FuseA,886,0,1,2,TA,0,Attchd,273.0,Y,244,12,2009,2010.0,14.0,Normal,-93.637482,42.060425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,528222090,1258,173500,20,RL,7697,Reg,Lvl,Inside,1Fam,1Story,7,6,2007,2007,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1246.0,Ex,Y,SBrkr,1258,0,2,3,Gd,0,Attchd,462.0,Y,0,8,2007,2007.666667,0.666666667,Partial,-93.637566,42.06048,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,528218150,1324,199500,20,RL,18494,IR1,Lvl,Corner,1Fam,1Story,6,5,2005,2005,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1324.0,Ex,Y,SBrkr,1324,0,2,3,Gd,0,Attchd,430.0,Y,59,1,2010,2010.083333,5.083333333,Normal,-93.63736,42.060466,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,903400180,1848,207000,50,RL,13053,Reg,Bnk,Inside,1Fam,1.5Fin,6,7,1923,2000,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,833.0,Gd,Y,SBrkr,1053,795,1,4,Gd,1,Detchd,370.0,N,220,6,2008,2008.5,8.5,Normal,-93.636718,42.060639,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,535453210,1269,155000,20,RL,7931,Reg,Lvl,Inside,1Fam,1Story,5,6,1960,1960,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,374.0,LwQ,532.0,1269.0,TA,Y,FuseA,1269,0,1,3,TA,1,Detchd,308.0,Y,0,6,2008,2008.5,48.5,Normal,-93.636378,42.060736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,916386010,1346,220000,20,RL,11896,IR1,Lvl,Corner,1Fam,1Story,7,5,2008,2008,Stone,60.0,Gd,TA,PConc,Gd,TA,No,GLQ,78.0,Unf,0.0,1336.0,Ex,Y,SBrkr,1346,0,2,3,Gd,1,Attchd,660.0,Y,148,5,2010,2010.416667,2.416666667,Normal,-93.6364,42.060896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,907181090,1749,196000,60,RL,9272,IR1,Lvl,Inside,1Fam,2Story,7,5,1999,1999,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,500.0,Unf,0.0,842.0,Ex,Y,SBrkr,856,893,2,3,Gd,0,Attchd,515.0,Y,225,6,2006,2006.5,7.5,Normal,-93.636948,42.0623,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,902206020,492,61500,30,RM,7830,Reg,Lvl,Inside,1Fam,1Story,3,5,1921,1950,None,0.0,TA,TA,BrkTil,Fa,TA,No,LwQ,416.0,Unf,0.0,492.0,TA,Y,SBrkr,492,0,1,1,TA,0,Detchd,200.0,N,78,6,2006,2006.5,56.5,Normal,-93.636373,42.061879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,527327050,2030,195000,60,RL,12046,IR1,Lvl,Inside,1Fam,2Story,6,6,1976,1976,BrkFace,298.0,TA,TA,CBlock,TA,TA,No,LwQ,156.0,Unf,0.0,848.0,TA,Y,SBrkr,1118,912,2,4,Gd,1,Attchd,551.0,Y,224,6,2007,2007.5,31.5,Normal,-93.635935,42.062802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,527455250,988,129250,20,RL,7150,Reg,Lvl,Inside,1Fam,1Story,5,6,1966,1966,BrkFace,52.0,TA,TA,CBlock,TA,TA,No,BLQ,725.0,Unf,0.0,988.0,TA,Y,SBrkr,988,0,1,3,TA,0,Detchd,360.0,Y,0,11,2007,2007.916667,41.91666667,Normal,-93.635837,42.062798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,528326110,2172,291000,60,RL,11000,Reg,Lvl,FR2,1Fam,2Story,9,5,2000,2000,BrkFace,295.0,Gd,TA,PConc,Ex,TA,Mn,Unf,0.0,Unf,0.0,1519.0,Ex,Y,SBrkr,1533,639,2,4,Ex,1,BuiltIn,687.0,Y,315,6,2008,2008.5,8.5,Normal,-93.635798,42.062891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,914452190,1080,134000,20,RL,9187,Reg,Bnk,Corner,1Fam,1Story,6,5,1983,1983,None,0.0,TA,Gd,PConc,TA,TA,No,ALQ,336.0,Unf,0.0,1084.0,TA,Y,SBrkr,1080,0,1,3,TA,0,Attchd,484.0,Y,278,6,2007,2007.5,24.5,Normal,-93.635838,42.062956,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,535425060,1312,186000,20,RL,11355,IR1,Lvl,Corner,1Fam,1Story,7,7,1958,2001,BrkFace,125.0,TA,TA,CBlock,TA,TA,No,BLQ,637.0,Unf,0.0,1312.0,Ex,Y,SBrkr,1312,0,1,3,TA,1,Attchd,495.0,Y,448,4,2008,2008.333333,7.333333333,Normal,-93.635932,42.062956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,532376250,925,133500,20,RL,8638,IR1,Lvl,Inside,1Fam,1Story,5,6,1963,1963,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,181.0,Unf,0.0,925.0,Gd,Y,SBrkr,925,0,1,2,TA,0,Detchd,484.0,Y,277,10,2006,2006.833333,43.83333333,Normal,-93.637442,42.060598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44,535379110,1534,148000,70,RL,10800,Reg,Lvl,Inside,1Fam,2Story,5,9,1895,1999,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Unf,0.0,Unf,0.0,736.0,Ex,Y,SBrkr,751,783,1,3,Gd,0,,0.0,N,112,7,2007,2007.583333,8.583333333,Normal,-93.636146,42.061664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,528118010,2376,325300,60,RL,14215,IR1,Lvl,Corner,1Fam,2Story,8,5,2005,2006,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1158.0,Ex,Y,SBrkr,1158,1218,3,4,Gd,1,BuiltIn,853.0,Y,394,11,2006,2006.916667,0.916666667,Partial,-93.636972,42.061326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,528235160,1959,215000,60,RL,11796,IR1,Lvl,Inside,1Fam,2Story,7,5,2004,2005,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,847.0,Ex,Y,SBrkr,847,1112,2,4,Gd,1,BuiltIn,434.0,Y,148,7,2007,2007.583333,2.583333333,Normal,-93.637189,42.061242,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,905478030,1716,131000,50,RL,11409,Reg,Lvl,Inside,1Fam,1.5Fin,5,4,1949,2008,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,292.0,Unf,0.0,768.0,Gd,Y,SBrkr,1148,568,1,3,TA,1,Attchd,281.0,Y,160,1,2009,2009.083333,1.083333333,Normal,-93.634341,42.063067,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,902106130,936,109500,30,RM,4485,Reg,Lvl,Inside,1Fam,1Story,5,7,1920,1950,None,0.0,TA,TA,PConc,TA,TA,No,BLQ,579.0,Unf,0.0,936.0,TA,Y,SBrkr,936,0,1,2,TA,1,,0.0,P,186,5,2010,2010.416667,60.41666667,Normal,-93.634265,42.062903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,902102080,1230,110000,50,RM,10440,Reg,Lvl,Corner,1Fam,2Story,5,6,1910,1981,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,440.0,Gd,Y,SBrkr,682,548,1,2,TA,0,Detchd,440.0,Y,202,5,2009,2009.416667,28.41666667,Normal,-93.633876,42.062976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,909176170,2592,150000,90,RL,10890,Reg,Lvl,Inside,Duplex,2Story,5,6,1923,1950,None,0.0,TA,TA,PConc,TA,TA,Mn,Rec,371.0,Unf,0.0,1296.0,Fa,N,FuseA,1296,1296,2,6,TA,0,,0.0,Y,982,1,2007,2007.083333,57.08333333,AdjLand,-93.633792,42.062978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,533206070,1565,193800,120,FV,3784,IR1,Lvl,Inside,TwnhsE,1Story,8,5,2006,2007,Stone,36.0,Gd,TA,PConc,Gd,TA,No,GLQ,60.0,Unf,0.0,1511.0,Ex,Y,SBrkr,1565,0,2,2,Gd,0,Attchd,476.0,Y,120,2,2007,2007.166667,0.166666667,Partial,-93.633739,42.061981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52,527302020,1868,178000,80,RL,12090,Reg,Lvl,Inside,1Fam,SLvl,6,7,1984,2003,BrkFace,74.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,585.0,Ex,Y,SBrkr,1140,728,3,3,TA,1,BuiltIn,477.0,Y,527,1,2007,2007.083333,4.083333333,Abnorml,-93.633781,42.061374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,907414060,1422,179600,20,RL,8500,Reg,Lvl,FR2,1Fam,1Story,7,5,2004,2004,BrkFace,106.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1422.0,Ex,Y,SBrkr,1422,0,2,3,Gd,0,Attchd,626.0,Y,252,11,2007,2007.916667,3.916666667,Normal,-93.633547,42.061633,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,904301060,1200,179000,90,RL,10800,Reg,Lvl,Inside,Duplex,1Story,5,5,1987,1988,None,0.0,TA,TA,CBlock,Gd,Gd,Gd,GLQ,1200.0,Unf,0.0,1200.0,TA,Y,SBrkr,1200,0,3,3,TA,0,,0.0,Y,120,3,2009,2009.25,21.25,Alloca,-93.633905,42.060865,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,532479020,1641,140000,50,RL,10759,Reg,Lvl,Corner,1Fam,1.5Fin,5,4,1972,1972,None,0.0,TA,Gd,CBlock,Gd,TA,No,LwQ,190.0,ALQ,811.0,1001.0,TA,Y,SBrkr,1001,640,2,4,TA,1,Detchd,490.0,Y,92,7,2008,2008.583333,36.58333333,Normal,-93.633826,42.060728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
