PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotArea,LotShape,LandContour,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,FullBath,BedroomAbvGr,KitchenQual,Fireplaces,GarageType,GarageArea,PavedDrive,OurdoorSpace,MoSold,YrSold,YrMoSold,AgeSold,SaleCondition
535105100,1394,159000,20,RL,9500,IR1,Lvl,Inside,NAmes,1Fam,1Story,6,5,1963,1963,BrkFace,247,TA,TA,CBlock,Gd,TA,No,BLQ,609,Unf,0,1394,Gd,Y,SBrkr,1394,0,1,3,TA,2,Attchd,514,Y,261,7,2009,2009.583333,46.58333333,Normal
907405020,1536,214000,20,RL,9135,Reg,Lvl,Inside,CollgCr,1Fam,1Story,7,5,2002,2003,BrkFace,113,Gd,TA,PConc,Gd,TA,Av,GLQ,810,Unf,0,1536,Ex,Y,SBrkr,1536,0,2,3,Gd,0,Attchd,532,Y,266,12,2008,2009,6,Normal
531382110,1680,163000,60,RL,8480,IR1,Lvl,Inside,SawyerW,1Fam,2Story,6,5,1993,1994,BrkFace,120,Gd,TA,PConc,Gd,TA,No,GLQ,602,Unf,0,886,Ex,Y,SBrkr,886,794,2,3,Gd,0,Attchd,474,Y,240,10,2008,2008.833333,14.83333333,Normal
906380120,1274,203000,20,RL,8814,Reg,Lvl,Inside,CollgCr,1Fam,1Story,7,5,2005,2007,BrkFace,80,Gd,TA,PConc,Gd,TA,No,GLQ,925,Unf,0,1274,Ex,Y,SBrkr,1274,0,2,3,Gd,0,Attchd,508,Y,362,1,2007,2007.083333,0.083333333,Partial
909101060,864,67000,30,RL,8248,Reg,Lvl,Inside,Edwards,1Fam,1Story,3,3,1914,1950,None,0,TA,TA,BrkTil,TA,TA,No,BLQ,41,Unf,0,864,TA,N,FuseF,864,0,1,2,TA,0,,0,N,100,9,2008,2008.75,58.75,Normal
534152050,1610,205000,20,RL,10603,IR1,Lvl,Inside,NWAmes,1Fam,1Story,6,7,1977,2001,BrkFace,28,TA,TA,PConc,TA,TA,Mn,ALQ,1200,Unf,0,1610,Gd,Y,SBrkr,1610,0,2,3,Gd,2,Attchd,480,Y,236,2,2010,2010.166667,9.166666667,Normal
923252075,1091,131250,80,RL,7706,Reg,Lvl,Inside,Mitchel,1Fam,SLvl,6,5,1993,1996,None,0,TA,Gd,CBlock,Gd,TA,Av,Rec,114,GLQ,270,384,Ex,Y,SBrkr,1091,0,1,2,TA,0,Attchd,429,Y,280,8,2009,2009.666667,13.66666667,Normal
531376060,1486,181000,20,RL,7441,IR1,Lvl,Inside,SawyerW,1Fam,1Story,7,5,2006,2006,BrkFace,170,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1461,Ex,Y,SBrkr,1486,0,2,3,Gd,0,Attchd,566,Y,32,6,2007,2007.5,1.5,Normal
902201120,789,115000,20,RM,6000,Reg,Lvl,Inside,OldTown,1Fam,1Story,5,5,1948,1950,None,0,TA,TA,CBlock,TA,TA,No,ALQ,104,BLQ,169,789,Ex,Y,SBrkr,789,0,1,2,TA,0,Detchd,250,Y,0,4,2008,2008.333333,58.33333333,Partial
923228080,1092,98000,160,RM,1477,Reg,Lvl,Inside,MeadowV,Twnhs,2Story,6,9,1970,2007,None,0,TA,Gd,CBlock,TA,TA,No,GLQ,358,Unf,0,546,Ex,Y,SBrkr,546,546,2,3,TA,0,,0,Y,187,3,2008,2008.25,1.25,Normal
902326030,2640,265979,70,RM,11700,IR1,Lvl,Corner,OldTown,1Fam,2Story,7,7,1880,2003,None,0,Gd,TA,Stone,TA,Fa,No,Unf,0,Unf,0,1240,TA,N,SBrkr,1320,1320,1,4,Gd,1,Detchd,864,N,567,5,2009,2009.416667,6.416666667,Normal
527451330,1092,105500,160,RM,1680,Reg,Lvl,Inside,BrDale,Twnhs,2Story,5,5,1971,1971,BrkFace,492,TA,TA,CBlock,TA,TA,No,Rec,300,Unf,0,525,TA,Y,SBrkr,525,567,1,3,TA,0,Detchd,320,Y,0,3,2010,2010.25,39.25,Normal
528218100,1458,168165,60,RL,13204,IR1,Lvl,Inside,Gilbert,1Fam,2Story,7,5,2006,2007,Stone,44,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,608,Ex,Y,SBrkr,608,850,2,3,Gd,0,BuiltIn,454,Y,133,5,2007,2007.416667,0.416666667,Partial
916386140,1466,201000,20,RL,8925,IR1,HLS,Inside,Timber,1Fam,1Story,8,5,2007,2007,None,0,Gd,TA,PConc,Gd,TA,Av,GLQ,16,Unf,0,1466,Ex,Y,SBrkr,1466,0,2,3,Gd,0,Attchd,610,Y,118,7,2009,2009.583333,2.583333333,Normal
533221090,1573,177500,160,FV,2117,Reg,Lvl,Inside,Somerst,Twnhs,2Story,6,5,2000,2000,BrkFace,216,Gd,TA,PConc,Gd,TA,No,GLQ,378,Unf,0,756,Ex,Y,SBrkr,769,804,2,3,Gd,0,Detchd,440,Y,32,6,2010,2010.5,10.5,Normal
534128010,2090,200000,60,RL,10382,IR1,Lvl,Corner,NWAmes,1Fam,2Story,7,6,1973,1973,Stone,240,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,1107,Ex,Y,SBrkr,1107,983,2,3,TA,2,Attchd,484,Y,667,11,2009,2009.916667,36.91666667,Normal
528106110,2046,450000,20,RL,15431,Reg,Lvl,Inside,NridgHt,1Fam,1Story,10,5,2005,2006,BrkFace,400,Ex,TA,PConc,Ex,TA,Gd,GLQ,1430,Unf,0,1994,Ex,Y,SBrkr,2046,0,2,2,Ex,2,Attchd,878,Y,428,8,2007,2007.666667,1.666666667,Normal
902206260,886,91300,30,RM,5784,Reg,Lvl,Inside,OldTown,1Fam,1Story,5,8,1938,1996,None,0,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,0,190,Gd,Y,FuseA,886,0,1,2,TA,0,Attchd,273,Y,244,12,2009,2010,14,Normal
528222090,1258,173500,20,RL,7697,Reg,Lvl,Inside,Gilbert,1Fam,1Story,7,6,2007,2007,BrkFace,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1246,Ex,Y,SBrkr,1258,0,2,3,Gd,0,Attchd,462,Y,0,8,2007,2007.666667,0.666666667,Partial
528218150,1324,199500,20,RL,18494,IR1,Lvl,Corner,Gilbert,1Fam,1Story,6,5,2005,2005,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1324,Ex,Y,SBrkr,1324,0,2,3,Gd,0,Attchd,430,Y,59,1,2010,2010.083333,5.083333333,Normal
903400180,1848,207000,50,RL,13053,Reg,Bnk,Inside,BrkSide,1Fam,1.5Fin,6,7,1923,2000,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,833,Gd,Y,SBrkr,1053,795,1,4,Gd,1,Detchd,370,N,220,6,2008,2008.5,8.5,Normal
535453210,1269,155000,20,RL,7931,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,6,1960,1960,None,0,TA,TA,CBlock,TA,TA,No,BLQ,374,LwQ,532,1269,TA,Y,FuseA,1269,0,1,3,TA,1,Detchd,308,Y,0,6,2008,2008.5,48.5,Normal
916386010,1346,220000,20,RL,11896,IR1,Lvl,Corner,Timber,1Fam,1Story,7,5,2008,2008,Stone,60,Gd,TA,PConc,Gd,TA,No,GLQ,78,Unf,0,1336,Ex,Y,SBrkr,1346,0,2,3,Gd,1,Attchd,660,Y,148,5,2010,2010.416667,2.416666667,Normal
907181090,1749,196000,60,RL,9272,IR1,Lvl,Inside,CollgCr,1Fam,2Story,7,5,1999,1999,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,500,Unf,0,842,Ex,Y,SBrkr,856,893,2,3,Gd,0,Attchd,515,Y,225,6,2006,2006.5,7.5,Normal
902206020,492,61500,30,RM,7830,Reg,Lvl,Inside,OldTown,1Fam,1Story,3,5,1921,1950,None,0,TA,TA,BrkTil,Fa,TA,No,LwQ,416,Unf,0,492,TA,Y,SBrkr,492,0,1,1,TA,0,Detchd,200,N,78,6,2006,2006.5,56.5,Normal
527327050,2030,195000,60,RL,12046,IR1,Lvl,Inside,NWAmes,1Fam,2Story,6,6,1976,1976,BrkFace,298,TA,TA,CBlock,TA,TA,No,LwQ,156,Unf,0,848,TA,Y,SBrkr,1118,912,2,4,Gd,1,Attchd,551,Y,224,6,2007,2007.5,31.5,Normal
527455250,988,129250,20,RL,7150,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,6,1966,1966,BrkFace,52,TA,TA,CBlock,TA,TA,No,BLQ,725,Unf,0,988,TA,Y,SBrkr,988,0,1,3,TA,0,Detchd,360,Y,0,11,2007,2007.916667,41.91666667,Normal
528326110,2172,291000,60,RL,11000,Reg,Lvl,FR2,NoRidge,1Fam,2Story,9,5,2000,2000,BrkFace,295,Gd,TA,PConc,Ex,TA,Mn,Unf,0,Unf,0,1519,Ex,Y,SBrkr,1533,639,2,4,Ex,1,BuiltIn,687,Y,315,6,2008,2008.5,8.5,Normal
914452190,1080,134000,20,RL,9187,Reg,Bnk,Corner,Mitchel,1Fam,1Story,6,5,1983,1983,None,0,TA,Gd,PConc,TA,TA,No,ALQ,336,Unf,0,1084,TA,Y,SBrkr,1080,0,1,3,TA,0,Attchd,484,Y,278,6,2007,2007.5,24.5,Normal
535425060,1312,186000,20,RL,11355,IR1,Lvl,Corner,NAmes,1Fam,1Story,7,7,1958,2001,BrkFace,125,TA,TA,CBlock,TA,TA,No,BLQ,637,Unf,0,1312,Ex,Y,SBrkr,1312,0,1,3,TA,1,Attchd,495,Y,448,4,2008,2008.333333,7.333333333,Normal
532376250,925,133500,20,RL,8638,IR1,Lvl,Inside,Sawyer,1Fam,1Story,5,6,1963,1963,None,0,TA,TA,PConc,TA,TA,No,ALQ,181,Unf,0,925,Gd,Y,SBrkr,925,0,1,2,TA,0,Detchd,484,Y,277,10,2006,2006.833333,43.83333333,Normal
535379110,1534,148000,70,RL,10800,Reg,Lvl,Inside,OldTown,1Fam,2Story,5,9,1895,1999,None,0,TA,Gd,CBlock,Gd,TA,Av,Unf,0,Unf,0,736,Ex,Y,SBrkr,751,783,1,3,Gd,0,,0,N,112,7,2007,2007.583333,8.583333333,Normal
528118010,2376,325300,60,RL,14215,IR1,Lvl,Corner,NridgHt,1Fam,2Story,8,5,2005,2006,BrkFace,380,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,Ex,Y,SBrkr,1158,1218,3,4,Gd,1,BuiltIn,853,Y,394,11,2006,2006.916667,0.916666667,Partial
528235160,1959,215000,60,RL,11796,IR1,Lvl,Inside,Gilbert,1Fam,2Story,7,5,2004,2005,None,0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,847,Ex,Y,SBrkr,847,1112,2,4,Gd,1,BuiltIn,434,Y,148,7,2007,2007.583333,2.583333333,Normal
905478030,1716,131000,50,RL,11409,Reg,Lvl,Inside,Edwards,1Fam,1.5Fin,5,4,1949,2008,None,0,TA,TA,CBlock,TA,TA,No,LwQ,292,Unf,0,768,Gd,Y,SBrkr,1148,568,1,3,TA,1,Attchd,281,Y,160,1,2009,2009.083333,1.083333333,Normal
902106130,936,109500,30,RM,4485,Reg,Lvl,Inside,OldTown,1Fam,1Story,5,7,1920,1950,None,0,TA,TA,PConc,TA,TA,No,BLQ,579,Unf,0,936,TA,Y,SBrkr,936,0,1,2,TA,1,,0,P,186,5,2010,2010.416667,60.41666667,Normal
902102080,1230,110000,50,RM,10440,Reg,Lvl,Corner,OldTown,1Fam,2Story,5,6,1910,1981,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,440,Gd,Y,SBrkr,682,548,1,2,TA,0,Detchd,440,Y,202,5,2009,2009.416667,28.41666667,Normal
909176170,2592,150000,90,RL,10890,Reg,Lvl,Inside,SWISU,Duplex,2Story,5,6,1923,1950,None,0,TA,TA,PConc,TA,TA,Mn,Rec,371,Unf,0,1296,Fa,N,FuseA,1296,1296,2,6,TA,0,,0,Y,982,1,2007,2007.083333,57.08333333,AdjLand
533206070,1565,193800,120,FV,3784,IR1,Lvl,Inside,Somerst,TwnhsE,1Story,8,5,2006,2007,Stone,36,Gd,TA,PConc,Gd,TA,No,GLQ,60,Unf,0,1511,Ex,Y,SBrkr,1565,0,2,2,Gd,0,Attchd,476,Y,120,2,2007,2007.166667,0.166666667,Partial
527302020,1868,178000,80,RL,12090,Reg,Lvl,Inside,NWAmes,1Fam,SLvl,6,7,1984,2003,BrkFace,74,TA,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,585,Ex,Y,SBrkr,1140,728,3,3,TA,1,BuiltIn,477,Y,527,1,2007,2007.083333,4.083333333,Abnorml
907414060,1422,179600,20,RL,8500,Reg,Lvl,FR2,CollgCr,1Fam,1Story,7,5,2004,2004,BrkFace,106,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1422,Ex,Y,SBrkr,1422,0,2,3,Gd,0,Attchd,626,Y,252,11,2007,2007.916667,3.916666667,Normal
904301060,1200,179000,90,RL,10800,Reg,Lvl,Inside,Edwards,Duplex,1Story,5,5,1987,1988,None,0,TA,TA,CBlock,Gd,Gd,Gd,GLQ,1200,Unf,0,1200,TA,Y,SBrkr,1200,0,3,3,TA,0,,0,Y,120,3,2009,2009.25,21.25,Alloca
532479020,1641,140000,50,RL,10759,Reg,Lvl,Corner,Sawyer,1Fam,1.5Fin,5,4,1972,1972,None,0,TA,Gd,CBlock,Gd,TA,No,LwQ,190,ALQ,811,1001,TA,Y,SBrkr,1001,640,2,4,TA,1,Detchd,490,Y,92,7,2008,2008.583333,36.58333333,Normal
528110070,1973,395000,20,RL,14226,Reg,Lvl,Corner,NridgHt,1Fam,1Story,8,5,2006,2006,BrkFace,375,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1935,Gd,Y,SBrkr,1973,0,2,3,Gd,1,Attchd,895,Y,360,7,2007,2007.583333,1.583333333,Partial
534429130,1248,151500,20,RL,10800,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,7,1960,1960,BrkFace,88,TA,TA,CBlock,TA,TA,No,ALQ,632,Unf,0,1248,Ex,Y,SBrkr,1248,0,1,3,TA,0,Attchd,286,Y,0,5,2006,2006.416667,46.41666667,Normal
528365060,2418,341000,60,RL,10542,Reg,Lvl,Inside,NoRidge,1Fam,2Story,7,5,1993,1994,BrkFace,651,Gd,TA,PConc,Gd,TA,Gd,GLQ,1173,Unf,0,1311,Ex,Y,SBrkr,1325,1093,2,3,Gd,1,Attchd,983,Y,620,8,2008,2008.666667,14.66666667,Normal
533135020,1755,235000,60,RL,11949,Reg,Lvl,Inside,NoRidge,1Fam,2Story,7,8,1991,2008,BrkFace,196,Gd,Gd,PConc,Gd,TA,No,GLQ,601,ALQ,216,975,Ex,Y,SBrkr,975,780,2,3,Gd,1,Attchd,524,Y,562,7,2009,2009.583333,1.583333333,Normal
910203100,672,72000,30,RM,8534,Reg,Low,Inside,IDOTRR,1Fam,1Story,4,4,1925,1950,None,0,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,0,432,TA,N,FuseA,672,0,1,2,TA,0,,0,N,112,6,2006,2006.5,56.5,Normal
905451390,1626,154000,50,RL,10512,Reg,Lvl,Inside,Edwards,1Fam,1.5Fin,6,6,1954,1954,None,0,TA,TA,CBlock,TA,TA,No,BLQ,491,Unf,0,988,Ex,Y,SBrkr,988,638,1,3,Gd,0,Attchd,332,Y,366,5,2007,2007.416667,53.41666667,Normal
533213010,1726,222000,120,FV,3830,IR1,Lvl,Inside,Somerst,TwnhsE,1Story,6,5,2008,2008,Stone,280,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1726,Ex,Y,SBrkr,1726,0,2,2,Gd,1,Attchd,561,Y,254,1,2009,2009.083333,1.083333333,Partial
528118030,2748,390000,60,RL,13418,Reg,Lvl,Inside,NridgHt,1Fam,2Story,9,5,2006,2006,BrkFace,270,Gd,TA,PConc,Ex,TA,Gd,GLQ,1420,Unf,0,1850,Ex,Y,SBrkr,1850,898,2,4,Ex,1,BuiltIn,850,Y,394,10,2008,2008.833333,2.833333333,Abnorml
907200340,894,128200,20,RL,10650,Reg,Lvl,Corner,CollgCr,1Fam,1Story,5,6,1976,1976,None,0,TA,TA,CBlock,TA,Gd,Av,LwQ,182,ALQ,712,894,TA,Y,SBrkr,894,0,1,3,TA,0,Attchd,308,Y,365,2,2010,2010.166667,34.16666667,Normal
528164060,2470,615000,20,RL,12720,Reg,HLS,Inside,NridgHt,1Fam,1Story,10,5,2003,2003,Stone,680,Ex,TA,PConc,Ex,TA,Gd,GLQ,2257,Unf,0,2535,Ex,Y,SBrkr,2470,0,1,1,Ex,2,Attchd,789,Y,435,2,2008,2008.166667,5.166666667,Normal
907202010,1174,158000,20,RL,12250,IR1,Lvl,Inside,CollgCr,1Fam,1Story,5,6,1978,1978,BrkFace,180,TA,TA,CBlock,Gd,TA,Mn,ALQ,781,Unf,0,864,Ex,Y,SBrkr,1174,0,1,3,TA,0,Attchd,528,Y,491,5,2008,2008.416667,30.41666667,Normal
528186180,1324,254000,120,RL,6240,Reg,Lvl,Inside,NridgHt,TwnhsE,1Story,8,5,2006,2006,BrkFace,176,Gd,TA,PConc,Gd,TA,No,GLQ,863,Unf,0,1324,Ex,Y,SBrkr,1324,0,2,2,Gd,1,Attchd,550,Y,230,12,2009,2010,4,Normal
909250060,2447,169000,50,RL,9638,Reg,Lvl,Inside,SWISU,1Fam,1.5Fin,6,7,1919,1990,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,804,Ex,Y,SBrkr,1699,748,2,4,Gd,1,Detchd,336,Y,430,3,2010,2010.25,20.25,Normal
528315060,2199,284500,75,RL,9660,Reg,Lvl,Inside,NoRidge,1Fam,2.5Unf,8,5,1997,1997,BrkFace,1290,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1173,Ex,Y,SBrkr,1182,1017,2,3,Gd,1,Attchd,516,Y,131,9,2008,2008.75,11.75,Normal
528231020,1374,184500,80,RL,13300,IR1,Lvl,Inside,Gilbert,1Fam,SLvl,7,5,2004,2004,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,326,Unf,0,384,Ex,Y,SBrkr,744,630,2,3,Gd,1,BuiltIn,400,Y,100,6,2010,2010.5,6.5,Normal
528456230,1335,210400,20,FV,9000,Reg,Lvl,Inside,Somerst,1Fam,1Story,7,5,2006,2007,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1335,Ex,Y,SBrkr,1335,0,2,3,Gd,0,Attchd,575,Y,210,6,2007,2007.5,0.5,Partial
907180120,1588,214000,20,RL,10264,IR1,Lvl,Inside,CollgCr,1Fam,1Story,7,5,1999,1999,BrkFace,183,Gd,TA,PConc,Gd,TA,Av,ALQ,1162,Unf,0,1588,Ex,Y,SBrkr,1588,0,2,3,Gd,0,Attchd,472,Y,187,8,2006,2006.666667,7.666666667,Normal
911370410,1652,392500,120,RM,5587,IR1,HLS,Inside,Crawfor,TwnhsE,1Story,8,5,2008,2008,Stone,186,Ex,TA,PConc,Ex,TA,Gd,GLQ,1480,Unf,0,1600,Ex,Y,SBrkr,1652,0,2,2,Gd,1,Attchd,482,Y,368,11,2008,2008.916667,0.916666667,Partial
527108090,2021,274725,60,RL,23257,IR3,HLS,CulDSac,Gilbert,1Fam,2Story,7,5,2006,2006,None,0,Gd,TA,PConc,Ex,Gd,No,Unf,0,Unf,0,868,Ex,Y,SBrkr,887,1134,2,3,Gd,1,BuiltIn,422,Y,100,9,2006,2006.75,0.75,Partial
528222050,1412,156932,60,RL,8499,IR1,Lvl,Inside,Gilbert,1Fam,2Story,6,5,2006,2007,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,616,Ex,Y,SBrkr,616,796,2,3,Gd,1,BuiltIn,432,Y,36,3,2007,2007.25,0.25,Partial
528429110,1464,282922,20,RL,15256,IR1,Lvl,CulDSac,Somerst,1Fam,1Story,8,5,2007,2007,Stone,84,Gd,TA,PConc,Gd,TA,Gd,GLQ,929,Unf,0,1485,Ex,Y,SBrkr,1464,0,2,3,Gd,0,Attchd,754,Y,328,8,2007,2007.666667,0.666666667,Normal
902328100,1690,144000,75,RM,8850,IR1,Bnk,Corner,OldTown,1Fam,2.5Unf,7,6,1916,1950,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,815,Ex,Y,SBrkr,815,875,1,3,TA,1,Detchd,225,Y,330,7,2006,2006.583333,56.58333333,Normal
527451410,1092,88000,160,RM,1680,Reg,Lvl,Inside,BrDale,Twnhs,2Story,6,5,1971,1971,BrkFace,381,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,525,TA,Y,SBrkr,525,567,1,3,TA,0,Detchd,264,Y,0,3,2010,2010.25,39.25,Family
531477050,1012,67500,30,RH,9800,Reg,Lvl,Corner,SawyerW,1Fam,1Story,5,5,1920,1950,None,0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,816,TA,N,FuseA,1012,0,1,2,TA,0,Detchd,429,Y,201,4,2010,2010.333333,60.33333333,Normal
914476130,1210,148000,80,RL,11080,Reg,Lvl,Corner,Mitchel,1Fam,SLvl,6,6,1975,1975,BrkFace,257,TA,TA,CBlock,TA,TA,Av,GLQ,576,Unf,0,1128,TA,Y,SBrkr,1210,0,2,3,TA,0,Attchd,528,Y,0,5,2006,2006.416667,31.41666667,Normal
535453020,1256,159000,20,RL,8000,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,6,1959,1959,None,0,TA,TA,PConc,TA,TA,No,BLQ,476,Rec,488,1256,Gd,Y,FuseA,1256,0,1,3,Gd,0,Attchd,311,Y,240,5,2008,2008.416667,49.41666667,Normal
535379100,1130,120000,30,RL,10800,Reg,Lvl,Inside,OldTown,1Fam,1Story,5,6,1920,1950,None,0,TA,TA,BrkTil,TA,TA,No,Rec,821,Unf,0,1120,Ex,Y,SBrkr,1130,0,1,2,TA,1,Detchd,720,Y,229,6,2006,2006.5,56.5,Normal
905108190,858,134900,85,RL,7252,IR1,Lvl,CulDSac,Sawyer,1Fam,SFoyer,5,5,1982,1982,None,0,TA,TA,CBlock,Gd,TA,Av,GLQ,685,Unf,0,858,TA,Y,SBrkr,858,0,1,2,TA,0,Detchd,576,Y,120,4,2009,2009.333333,27.33333333,Normal
905201110,1188,185000,20,RL,14175,Reg,Lvl,Inside,Sawyer,1Fam,1Story,6,8,1956,1956,None,0,TA,TA,CBlock,TA,Gd,Gd,GLQ,776,Unf,0,988,TA,Y,FuseA,1188,0,1,1,TA,1,Attchd,621,Y,422,6,2008,2008.5,52.5,Normal
