,GrLivArea,MSZoning,LotFrontage,LotArea,LotConfig,BldgType,HouseStyle,OverallQual,OverallCond,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,SaleCondition,price_sfgr,price_sf,perc_1stflr,house_footprint,house_ga_footprint,RoomSize,QualXSF,CondXSF,BsmtGLQSF,BsmtALQSF,BsmtBLQSF,BsmtRecSF,BsmtLwQSF,Bsmt_Y,OutdoorSpace,AgeSold,gaudist_LincolnGrand,gaudist_GreekCircle,gaudist_OntarioND,gaudist_Stange13,gaudist_Grand13,gaudist_Grand24,gaudist_BloomStange,gaudist_IC3069
10,1342,RL,48.0,6240,Inside,TwnhsE,1Story,8,5,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,1318.0,1342.0,Ex,1342,0,0,0.0,0.0,2,0,2,1,Gd,6,1,2.0,550.0,Normal,163.5618479880775,81.78092399403874,1.0,0.2150641025641025,0.3032051282051282,223.66666666666663,10736,6710,24.0,0.0,0.0,0.0,0.0,1,35,1,0.026544793659050048,0.05238233196961423,0.1416070554656994,0.3465651658763548,0.10944177502820794,0.24688198437689227,0.949715306395158,2.5995083059247598e-05
11,1274,RL,63.0,10475,Inside,1Fam,2Story,5,5,None,0.0,TA,TA,PConc,Gd,TA,No,166.0,624.0,Gd,624,650,0,0.0,0.0,1,1,3,1,TA,6,0,2.0,576.0,Normal,106.7503924646782,71.65437302423604,0.4897959183673469,0.0595704057279236,0.1145584725536992,212.33333333333331,6370,6370,0.0,0.0,0.0,458.0,0.0,1,22,19,0.039496363663311336,0.010734276767070379,5.863711851503386e-06,0.000663620881937243,0.004905420521194069,0.0003862166361762905,3.3953355517704995e-06,0.8105272967373829
12,861,RM,62.0,7404,Corner,1Fam,1Story,4,6,None,0.0,TA,TA,BrkTil,Fa,TA,No,861.0,861.0,TA,861,0,0,0.0,0.0,1,0,2,1,TA,5,0,2.0,288.0,Normal,92.91521486643438,46.45760743321719,1.0,0.116288492706645,0.1551863857374392,172.2,3444,5166,0.0,0.0,0.0,0.0,0.0,1,128,59,0.7175817496912058,0.18652358444662903,0.003149414510393069,0.2122495704963465,0.8432545827784443,0.5729332810154824,0.062141319828613144,0.04314695356155259
13,1394,RL,74.0,9500,Inside,1Fam,1Story,6,5,BrkFace,247.0,TA,TA,CBlock,Gd,TA,No,785.0,1394.0,Gd,1394,0,0,1.0,0.0,1,1,3,1,TA,6,2,2.0,514.0,Normal,114.06025824964132,57.03012912482066,1.0,0.1467368421052631,0.2008421052631579,232.33333333333331,8364,6970,0.0,0.0,609.0,0.0,0.0,1,76,46,0.28928119226907756,0.09280783767891354,0.006785891827105156,0.2771318623134782,0.7075710467457031,0.9706414201292325,0.30297218602963993,0.0023613098952718066
14,1536,RL,70.0,9135,Inside,1Fam,1Story,7,5,BrkFace,113.0,Gd,TA,PConc,Gd,TA,Av,726.0,1536.0,Ex,1536,0,0,1.0,0.0,2,0,3,1,Gd,7,0,2.0,532.0,Normal,139.32291666666666,69.66145833333333,1.0,0.1681444991789819,0.2263820470717022,219.42857142857144,10752,7680,810.0,0.0,0.0,0.0,0.0,1,266,5,0.003990593566448393,0.08905402706542635,0.3888801892011836,0.04581517898214207,0.002034539378037101,0.0006155902566887252,0.002831210203825195,0.0003268447386722174
15,1680,RL,50.0,8480,Inside,1Fam,2Story,6,5,BrkFace,120.0,Gd,TA,PConc,Gd,TA,No,284.0,886.0,Ex,886,794,0,0.0,1.0,2,1,3,1,Gd,7,0,2.0,474.0,Normal,97.02380952380952,63.52299298519096,0.5273809523809524,0.1044811320754717,0.160377358490566,240.0,10080,8400,602.0,0.0,0.0,0.0,0.0,1,240,14,0.0026668047759198744,0.050364544711388126,0.8792039968250347,0.10071747084995517,0.003904072006280459,0.0032493206028017217,0.04166508600846438,1.5026476605991635e-05
16,1274,RL,68.0,8814,Inside,1Fam,1Story,7,5,BrkFace,80.0,Gd,TA,PConc,Gd,TA,No,349.0,1274.0,Ex,1274,0,0,1.0,0.0,2,0,3,1,Gd,6,0,2.0,508.0,Partial,159.34065934065933,79.67032967032966,1.0,0.1445427728613569,0.2021783526208305,212.33333333333331,8918,6370,925.0,0.0,0.0,0.0,0.0,1,362,0,0.0037607159399411865,0.08048250665553712,0.7147623304376275,0.07871263761104537,0.0031524318358350494,0.0015367304365660063,0.011913968686177554,8.588313304178339e-05
17,864,RL,45.0,8248,Inside,1Fam,1Story,3,3,None,0.0,TA,TA,BrkTil,TA,TA,No,823.0,864.0,TA,864,0,0,1.0,0.0,1,0,2,1,TA,5,0,0.0,0.0,Normal,77.54629629629629,38.77314814814815,1.0,0.104752667313288,0.104752667313288,172.8,2592,2592,0.0,0.0,41.0,0.0,0.0,1,100,58,0.208219034624168,0.799682745909159,0.40764794728217935,0.5858122044215658,0.15225001646112596,0.06530785453770904,0.07073411971835065,0.013937504414164057
18,1610,RL,83.0,10603,Inside,1Fam,1Story,6,7,BrkFace,28.0,TA,TA,PConc,TA,TA,Mn,410.0,1610.0,Gd,1610,0,0,1.0,0.0,2,0,3,1,Gd,6,2,2.0,480.0,Normal,127.32919254658384,63.66459627329193,1.0,0.1518438177874186,0.197114024332736,268.3333333333333,9660,11270,0.0,1200.0,0.0,0.0,0.0,1,236,9,0.2911129639842006,0.3141231873347775,0.11479851878881613,0.8183259128108732,0.6031410596595761,0.70405952751744,0.6541624061215653,0.0022026137744644665
19,1091,RL,62.0,7706,Inside,1Fam,SLvl,6,5,None,0.0,TA,Gd,CBlock,Gd,TA,Av,0.0,384.0,Ex,1091,0,0,0.0,1.0,1,0,2,1,TA,5,0,1.0,429.0,Normal,120.3024747937672,88.98305084745763,1.0,0.1415779911757072,0.1972488969634051,218.2,6546,5455,270.0,0.0,0.0,114.0,0.0,1,280,13,0.057368778767121854,0.021475083001269928,2.0634737294123296e-05,0.0014391204145747759,0.0074612856614006415,0.000613638806024583,7.970470821024535e-06,0.9130902075475884
20,1486,RL,65.0,7441,Inside,1Fam,1Story,7,5,BrkFace,170.0,Gd,TA,PConc,Gd,TA,No,1461.0,1461.0,Ex,1486,0,0,0.0,0.0,2,0,3,1,Gd,7,0,2.0,566.0,Normal,121.80349932705248,61.418391584662366,1.0,0.1997043408144066,0.2757693858352372,212.28571428571428,10402,7430,0.0,0.0,0.0,0.0,0.0,1,32,1,0.0017126015129851134,0.03593171402906852,0.8189404722385768,0.07894129702702925,0.0026814889492069167,0.0023799268217950496,0.036813259231259915,7.75121411855229e-06
21,789,RM,50.0,6000,Inside,1Fam,1Story,5,5,None,0.0,TA,TA,CBlock,TA,TA,No,516.0,789.0,Ex,789,0,0,0.0,0.0,1,0,2,1,TA,5,0,1.0,250.0,Partial,145.75411913814955,72.87705956907477,1.0,0.1315,0.1731666666666666,157.8,3945,3945,0.0,104.0,169.0,0.0,0.0,1,0,58,0.6778214390674764,0.17392742540389783,0.0032033746300419216,0.21615046645935576,0.853070798400486,0.6190162900983431,0.07161138464979741,0.03427646588575386
22,1092,RM,21.0,1477,Inside,Twnhs,2Story,6,9,None,0.0,TA,Gd,CBlock,TA,TA,No,188.0,546.0,Ex,546,546,0,0.0,0.0,2,1,3,1,TA,6,0,0.0,0.0,Normal,89.74358974358974,59.82905982905983,0.5,0.3696682464454976,0.3696682464454976,182.0,6552,9828,358.0,0.0,0.0,0.0,0.0,1,187,1,0.09615756223429987,0.028339028705292292,2.6791943051945333e-05,0.0025069559489784778,0.015677683717918896,0.0016021626365406438,2.0916767691016972e-05,0.9391551113632083
23,2640,RM,65.0,11700,Corner,1Fam,2Story,7,7,None,0.0,Gd,TA,Stone,TA,Fa,No,1240.0,1240.0,TA,1320,1320,0,0.0,0.0,1,1,4,1,Gd,8,1,4.0,864.0,Normal,100.7496212121212,68.55128865979381,0.5,0.1128205128205128,0.1866666666666666,330.0,18480,18480,0.0,0.0,0.0,0.0,0.0,1,567,6,0.8495063357708673,0.2734923816237771,0.00520760998430074,0.26509333072690267,0.8727804622993665,0.5211035564027231,0.06078330081599317,0.06626000493740071
24,1092,RM,21.0,1680,Inside,Twnhs,2Story,5,5,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,225.0,525.0,TA,525,567,0,0.0,0.0,1,1,3,1,TA,6,0,1.0,320.0,Normal,96.6117216117216,65.24427952999382,0.4807692307692308,0.3125,0.5029761904761905,182.0,5460,5460,0.0,0.0,0.0,300.0,0.0,1,0,39,0.16179077617675588,0.09334064416939804,0.024650481270820097,0.39763359504138773,0.5053205768928222,0.8753897827711413,0.6704795301809034,0.0005465078294758182
25,1458,RL,58.0,13204,Inside,1Fam,2Story,7,5,Stone,44.0,TA,TA,PConc,Gd,TA,No,608.0,608.0,Ex,608,850,0,0.0,0.0,2,0,3,1,Gd,6,0,2.0,454.0,Partial,115.3395061728395,81.39641819941917,0.4170096021947874,0.0460466525295365,0.0804301726749469,243.0,10206,7290,0.0,0.0,0.0,0.0,0.0,1,133,0,0.017354293428335204,0.023821706281645257,0.05459828628129978,0.2136996450612206,0.0921365750222143,0.26506044680299595,0.9272519650961559,1.024239228830192e-05
26,1466,RL,73.0,8925,Inside,1Fam,1Story,8,5,None,0.0,Gd,TA,PConc,Gd,TA,Av,1450.0,1466.0,Ex,1466,0,0,0.0,0.0,2,0,3,1,Gd,7,0,3.0,610.0,Normal,137.10777626193723,68.55388813096862,1.0,0.1642577030812325,0.2326050420168067,209.42857142857144,11728,7330,16.0,0.0,0.0,0.0,0.0,1,118,2,0.06363166803712467,0.23422477788760956,0.013524977156885996,0.02943921305470979,0.011983211612793273,0.0013996887807527216,0.00030917305740296285,0.14827383282120984
27,1573,FV,17.0,2117,Inside,Twnhs,2Story,6,5,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,378.0,756.0,Ex,769,804,0,0.0,0.0,2,1,3,1,Gd,5,0,2.0,440.0,Normal,112.84170375079466,76.21296693860026,0.4888747616020343,0.3632498819083609,0.5710911667453944,314.6,9438,7865,378.0,0.0,0.0,0.0,0.0,1,32,10,0.148829323923659,0.2416461851543423,0.2071249269909313,0.7786587835643977,0.355897246207636,0.47633960758139093,0.8020035803955885,0.0006532298563533869
28,2090,RL,86.0,10382,Corner,1Fam,2Story,7,6,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,216.0,1107.0,Ex,1107,983,0,1.0,0.0,2,1,3,1,TA,7,2,2.0,484.0,Normal,95.69377990430624,62.55864873318736,0.529665071770335,0.10662685417068,0.1532460026969755,298.57142857142856,14630,12540,0.0,859.0,32.0,0.0,0.0,1,667,36,0.20553903066153106,0.15546711141228395,0.049876368656427035,0.5600328303427805,0.556506940191365,0.8402274123189073,0.7278447657831737,0.0008990715125640547
29,2046,RL,105.0,15431,Inside,1Fam,1Story,10,5,BrkFace,400.0,Ex,TA,PConc,Ex,TA,Gd,564.0,1994.0,Ex,2046,0,0,1.0,0.0,2,1,2,1,Ex,7,2,3.0,878.0,Normal,219.94134897360703,111.3861386138614,1.0,0.1325902404251182,0.1894886915948415,292.2857142857143,20460,10230,1430.0,0.0,0.0,0.0,0.0,1,253,1,0.008229551627567028,0.0220929809739006,0.13270397727091596,0.1954070998880635,0.04178908622007798,0.11505313898135223,0.7764516038271193,4.1180388866143e-06
30,886,RM,50.0,5784,Inside,1Fam,1Story,5,8,None,0.0,TA,TA,BrkTil,Fa,TA,No,190.0,190.0,Gd,886,0,0,0.0,0.0,1,0,2,1,TA,4,0,1.0,273.0,Normal,103.04740406320542,84.85130111524164,1.0,0.1531811894882434,0.2003803596127247,221.5,4430,7088,0.0,0.0,0.0,0.0,0.0,1,244,13,0.7893084279331469,0.22787265212904095,0.004025227894097288,0.2369348347103964,0.8607028151981632,0.5442095776879408,0.06055432584384062,0.055182869468823934
31,1258,RL,64.0,7697,Inside,1Fam,1Story,7,6,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,1246.0,1246.0,Ex,1258,0,0,0.0,0.0,2,0,3,1,Gd,6,0,2.0,462.0,Partial,137.91732909379968,69.28913738019169,1.0,0.1634403014161361,0.2234636871508379,209.66666666666663,8806,7548,0.0,0.0,0.0,0.0,0.0,1,0,0,0.015699924983849506,0.019793294140143906,0.04315483506065711,0.1889138847966971,0.0878051089047659,0.2655649279039925,0.901109531677532,8.385525983176939e-06
32,1324,RL,100.0,18494,Corner,1Fam,1Story,6,5,None,0.0,Gd,TA,PConc,Gd,TA,No,1324.0,1324.0,Ex,1324,0,0,0.0,0.0,2,0,3,1,Gd,6,0,2.0,430.0,Normal,150.6797583081571,75.33987915407855,1.0,0.07159078620093,0.0948415702389964,220.66666666666663,7944,6620,0.0,0.0,0.0,0.0,0.0,1,59,5,0.01993232510090811,0.025502890842295727,0.051014668238079375,0.2225183561198305,0.10394949523541643,0.29400075434421485,0.9357115681132819,1.2692614379934544e-05
33,1848,RL,64.0,13053,Inside,1Fam,1.5Fin,6,7,None,0.0,TA,TA,BrkTil,TA,TA,No,833.0,833.0,Gd,1053,795,0,0.0,0.0,1,1,4,1,Gd,8,1,2.0,370.0,Normal,112.012987012987,77.20999627004849,0.5698051948051948,0.0806711100896345,0.1090170841952041,231.0,11088,12936,0.0,0.0,0.0,0.0,0.0,1,0,8,0.8656260113981106,0.6172726538649381,0.0406204572388648,0.6383504255831677,0.8983336109622357,0.5407744462028966,0.14766649044693295,0.04713686319721642
34,1269,RL,70.0,7931,Inside,1Fam,1Story,5,6,None,0.0,TA,TA,CBlock,TA,TA,No,363.0,1269.0,TA,1269,0,0,0.0,0.0,1,1,3,1,TA,6,1,1.0,308.0,Normal,122.14342001576044,61.07171000788022,1.0,0.1600050435001891,0.1988399949564998,211.5,6345,7614,0.0,0.0,374.0,0.0,532.0,1,0,48,0.5201144491485338,0.1144354605847151,0.002235473499982879,0.18012854019437036,0.7914504012133664,0.6891870617238804,0.08415067608574572,0.01711046104776968
35,1346,RL,88.0,11896,Corner,1Fam,1Story,7,5,Stone,60.0,Gd,TA,PConc,Gd,TA,No,1258.0,1336.0,Ex,1346,0,0,1.0,0.0,2,0,3,1,Gd,6,1,3.0,660.0,Normal,163.44725111441306,82.0283370618941,1.0,0.113147276395427,0.1686281102891728,224.33333333333331,9422,6730,78.0,0.0,0.0,0.0,0.0,1,148,2,0.07496151833937158,0.2561103237692083,0.013852622918038609,0.033379487665862455,0.014571613206976686,0.0017548087440142617,0.00037147200768356344,0.16593472292497058
36,1749,RL,68.0,9272,Inside,1Fam,2Story,7,5,None,0.0,Gd,TA,PConc,Gd,TA,No,342.0,842.0,Ex,856,893,0,0.0,0.0,2,1,3,1,Gd,7,0,2.0,515.0,Normal,112.06403659233848,75.64646854496334,0.4894225271583762,0.0923209663503019,0.1478645383951682,249.8571428571429,12243,8745,500.0,0.0,0.0,0.0,0.0,1,225,7,0.0021842792010336215,0.05932040906776975,0.4202141028350438,0.03595436804897773,0.001251222430104611,0.00042318266680294644,0.0027341770620391806,0.00012165790559812781
37,492,RM,52.0,7830,Inside,1Fam,1Story,3,5,None,0.0,TA,TA,BrkTil,Fa,TA,No,76.0,492.0,TA,492,0,0,1.0,0.0,1,0,1,1,TA,3,0,1.0,200.0,Normal,125.0,62.5,1.0,0.0628352490421455,0.0883780332056194,164.0,1476,2460,0.0,0.0,0.0,0.0,416.0,1,78,56,0.7479646209909806,0.21128918701742497,0.00403250544337275,0.24060912460902179,0.875800439131332,0.5929054134767522,0.06992128416295838,0.04384229503046359
38,2030,RL,94.0,12046,Inside,1Fam,2Story,6,6,BrkFace,298.0,TA,TA,CBlock,TA,TA,No,692.0,848.0,TA,1118,912,0,0.0,0.0,2,1,4,1,Gd,8,1,2.0,551.0,Normal,96.0591133004926,67.75538568450312,0.5507389162561577,0.0928108915822679,0.1385522165034036,253.75,12180,12180,0.0,0.0,0.0,0.0,156.0,1,224,31,0.10440912085718543,0.07252748329280093,0.031560197682422304,0.3735897271780971,0.3740092752687732,0.7386857650453197,0.8045415284103145,0.00022834433516321604
39,988,RL,65.0,7150,Inside,1Fam,1Story,5,6,BrkFace,52.0,TA,TA,CBlock,TA,TA,No,263.0,988.0,TA,988,0,0,1.0,0.0,1,0,3,1,TA,5,0,1.0,360.0,Normal,130.81983805668017,65.40991902834008,1.0,0.1381818181818181,0.1885314685314685,197.6,4940,5928,0.0,0.0,725.0,0.0,0.0,1,0,41,0.23153114292075522,0.12543672842884615,0.024097501062660284,0.44252933520869686,0.6272908680202438,0.948268658851806,0.5780538857182661,0.0011627439464306287
40,2172,RL,78.0,11000,FR2,1Fam,2Story,9,5,BrkFace,295.0,Gd,TA,PConc,Ex,TA,Mn,1519.0,1519.0,Ex,1533,639,0,0.0,0.0,2,1,4,1,Ex,8,1,3.0,687.0,Normal,133.97790055248618,78.84042264968843,0.7058011049723757,0.1393636363636363,0.2018181818181818,271.5,19548,10860,0.0,0.0,0.0,0.0,0.0,1,315,8,0.03330196854118502,0.06493172532368682,0.15534658348535024,0.39374150953324377,0.1284590834399107,0.2718672929990495,0.9572531909740427,3.897993433145122e-05
41,1080,RL,71.0,9187,Corner,1Fam,1Story,6,5,None,0.0,TA,Gd,PConc,TA,TA,No,748.0,1084.0,TA,1080,0,0,0.0,0.0,1,1,3,1,TA,5,0,2.0,484.0,Normal,124.07407407407408,61.92236598890943,1.0,0.1175574180907804,0.1702405573092413,216.0,6480,5400,0.0,336.0,0.0,0.0,0.0,1,278,24,0.14564565032885274,0.053286211494063915,8.264624245355819e-05,0.005471693975504127,0.026350696392635414,0.0029743258941579104,5.4923076494671704e-05,0.9908929892569583
42,1312,RL,76.0,11355,Corner,1Fam,1Story,7,7,BrkFace,125.0,TA,TA,CBlock,TA,TA,No,675.0,1312.0,Ex,1312,0,0,0.0,0.0,1,1,3,1,TA,6,1,2.0,495.0,Normal,141.76829268292684,70.88414634146342,1.0,0.1155438132981065,0.1591369440774989,218.66666666666663,9184,9184,0.0,0.0,637.0,0.0,0.0,1,448,7,0.3766620158970787,0.07290447636908363,0.0015749247268332324,0.14586687469393983,0.694010192530397,0.7262122644718424,0.09631480930884201,0.00794478341385628
43,925,RL,67.0,8638,Inside,1Fam,1Story,5,6,None,0.0,TA,TA,PConc,TA,TA,No,744.0,925.0,Gd,925,0,0,1.0,0.0,1,0,2,1,TA,5,0,2.0,484.0,Normal,144.32432432432432,72.16216216216216,1.0,0.107084973373466,0.1631164621440148,185.0,4625,5550,0.0,181.0,0.0,0.0,0.0,1,277,43,0.02843834314039377,0.21924977109707716,0.950923824990401,0.4091703928332136,0.04128573621717586,0.03414309767829433,0.16848977229262244,0.0002383537258891055
44,1534,RL,60.0,10800,Inside,1Fam,2Story,5,9,None,0.0,TA,Gd,CBlock,Gd,TA,Av,736.0,736.0,Ex,751,783,0,0.0,0.0,1,1,3,1,Gd,6,0,0.0,0.0,Normal,96.47979139504564,65.19823788546256,0.4895697522816167,0.069537037037037,0.069537037037037,255.66666666666663,7670,13806,0.0,0.0,0.0,0.0,0.0,1,112,8,0.6672003934715991,0.21883620560388703,0.007105909769648273,0.3234797347143955,0.9480950500709338,0.7725710863188626,0.13297442640919857,0.02219160433331306
45,2376,RL,101.0,14215,Corner,1Fam,2Story,8,5,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,1158.0,1158.0,Ex,1158,1218,0,0.0,0.0,3,1,4,1,Gd,9,1,3.0,853.0,Partial,136.91077441077442,92.0486700622524,0.4873737373737373,0.0814632430531129,0.1414702778754836,264.0,19008,11880,0.0,0.0,0.0,0.0,0.0,1,394,0,0.010430097099103905,0.02704211686157522,0.1423399203872416,0.22354893652340452,0.050362579824612445,0.13212974561509638,0.8116128052820519,6.03777314176694e-06
46,1959,RL,59.0,11796,Inside,1Fam,2Story,7,5,None,0.0,Gd,TA,PConc,Gd,TA,Av,847.0,847.0,Ex,847,1112,0,0.0,0.0,2,1,4,1,Gd,8,1,2.0,434.0,Normal,109.74987238386932,76.62152530292231,0.4323634507401735,0.0718040013563919,0.1085961342828077,244.875,13713,9795,0.0,0.0,0.0,0.0,0.0,1,148,2,0.021720752769848042,0.027319491378417302,0.05165270485783838,0.23222155398614067,0.1111133792572677,0.30851502464765906,0.9433849753717528,1.4648178751147267e-05
47,1716,RL,60.0,11409,Inside,1Fam,1.5Fin,5,4,None,0.0,TA,TA,CBlock,TA,TA,No,476.0,768.0,Gd,1148,568,0,0.0,0.0,1,1,3,1,TA,8,1,1.0,281.0,Normal,76.34032634032634,52.73752012882448,0.668997668997669,0.100622315715663,0.1252519940397931,214.5,8580,6864,0.0,0.0,0.0,0.0,292.0,1,0,1,0.13989767223954527,0.6587509767880485,0.5642791388366166,0.5801807845458085,0.11670066556745284,0.05678055363334316,0.08860192653809629,0.006100847809293212
48,936,RM,56.0,4485,Inside,1Fam,1Story,5,7,None,0.0,TA,TA,PConc,TA,TA,No,357.0,936.0,TA,936,0,0,1.0,0.0,1,0,2,1,TA,5,1,0.0,0.0,Normal,116.98717948717947,58.49358974358975,1.0,0.208695652173913,0.208695652173913,187.2,4680,6552,0.0,0.0,579.0,0.0,0.0,1,186,60,0.8581106193279611,0.4159550657255655,0.01750518579952184,0.4742697302307704,0.978885896629294,0.6456746519940249,0.13067006379170376,0.04293712757564997
